created_at;id;new_created_at;new_duration_months;new_maturity_date;new_roi_percentage;old_created_at;old_duration_months;old_maturity_date;old_roi_percentage;portfolio_id;reason;renewed_by;top_up_amount
2026-03-23 08:45:22.142372+00;bc9af674-6203-4f73-a814-8e02bf5b5e8e;2026-03-23 08:45:21.688+00;12;2027-03-23;20;2025-03-23 00:00:00+00;12;2026-03-23;20;382e7356-40aa-4409-90ca-4c5a88f65b3a;Auto-renewed on maturity (system);b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c;0
2026-03-22 09:59:06.549325+00;2a9130df-07a8-428a-b954-c14f06038c84;2026-03-22 09:59:05.668+00;12;2027-03-22;20;2025-03-22 00:00:00+00;12;2026-03-22;20;ae1e281b-3fad-47c8-9488-eed84a7065be;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:52.58811+00;353965f3-fd7a-4660-b62a-7d2f593ea47f;2026-03-21 15:16:52.553+00;12;2027-03-21;20;2025-02-20 00:00:00+00;12;2026-02-20;20;48af943d-3b8f-41d2-8ace-8aadcfeeedbe;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:51.975212+00;32cf73d8-1255-42d3-8bda-552f532d2af4;2026-03-21 15:16:51.941+00;12;2027-03-21;20;2025-02-28 00:00:00+00;12;2026-02-28;20;df1e9322-f2f4-49f1-b2e4-1b13f81c4023;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:51.362243+00;e30a2d83-d812-4089-a953-75b87afe3b5d;2026-03-21 15:16:51.332+00;12;2027-03-21;20;2025-03-03 00:00:00+00;12;2026-03-03;20;667f1b54-8a93-408c-ad0b-4060c0ac3b0e;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:50.784777+00;07046759-a61c-4bbe-8a66-5d483a617bf2;2026-03-21 15:16:50.749+00;12;2027-03-21;20;2025-03-03 00:00:00+00;12;2026-03-03;20;373f7db8-fcf7-4622-bd08-9de11fd06d0f;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:50.155927+00;ff89e07c-dd6a-41e5-9eb5-3176336432d3;2026-03-21 15:16:50.116+00;12;2027-03-21;20;2025-03-06 00:00:00+00;12;2026-03-06;20;d5b7c655-f820-4496-ae99-8f2b38c358cb;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:49.511705+00;a33b0421-a641-46e2-84e4-e327d6e56b08;2026-03-21 15:16:49.474+00;12;2027-03-21;20;2025-03-08 00:00:00+00;12;2026-03-08;20;78fd8eb1-cb9e-43fc-be4b-fa2a627970ce;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:48.911816+00;99599908-7e1f-45bb-8f22-f2a060c31ad3;2026-03-21 15:16:48.865+00;12;2027-03-21;20;2025-03-09 00:00:00+00;12;2026-03-09;20;5d00fa61-2570-4dc9-9c6e-a0ba125534e8;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:48.289728+00;b4270029-6adb-4bcf-8ae9-c8f471855365;2026-03-21 15:16:48.259+00;12;2027-03-21;20;2025-03-09 00:00:00+00;12;2026-03-09;20;914434ef-79b1-4809-941e-7794a1ecf5b0;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:47.695268+00;5f0137c7-53ab-42e4-96da-25aea826f0cf;2026-03-21 15:16:47.649+00;12;2027-03-21;20;2025-03-12 00:00:00+00;12;2026-03-12;20;d8a848a1-ed47-40b3-9e83-56f1b163cf9f;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:47.078069+00;db7251df-d696-4daf-a4fd-0a288b912c8d;2026-03-21 15:16:47.034+00;12;2027-03-21;20;2025-03-14 00:00:00+00;12;2026-03-14;20;4e597281-2847-4019-b28a-e8c3c37e8856;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:46.450808+00;e686a320-b56b-4d9a-b257-c7bdb130faa9;2026-03-21 15:16:46.4+00;12;2027-03-21;20;2025-03-14 00:00:00+00;12;2026-03-14;20;ae54f0dd-d59a-4c57-8952-5a04faf56ce0;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:45.822958+00;61eb73f1-7d77-4000-be1e-bfc76215ccbc;2026-03-21 15:16:45.78+00;12;2027-03-21;20;2025-03-19 00:00:00+00;12;2026-03-19;20;44da8988-a321-4058-a4f2-9a9d0760ff04;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
2026-03-21 15:16:45.19684+00;cb518668-fb88-4d3e-8c9f-19f3239d8483;2026-03-21 15:16:45.114+00;12;2027-03-21;20;2025-03-21 00:00:00+00;12;2026-03-21;20;034b6074-234f-4459-9bf3-1659fe3e511a;Auto-renewed on maturity (system);cf561688-b3a2-4f62-b9c1-67ee7b36ff2b;0
