created_at;details;escalation_type;id;portfolio_id;resolved_at;resolved_by;status
2026-03-18 07:00:14.299292+00;"{""amount"":2500000,""created_at"":""2026-03-16T00:00:00+00:00"",""hours_pending"":55,""portfolio_code"":""WIP2603164878""}";stale_approval;aedc755a-2c61-438a-b771-f15bbf29b350;a1b3f1af-5259-442e-819a-6f0fdabd9fc8;;;open
2026-03-18 07:00:14.047261+00;"{""amount"":2000000,""created_at"":""2026-03-09T00:00:00+00:00"",""hours_pending"":223,""portfolio_code"":""WIP2603092070""}";stale_approval;c8c45d80-e2b9-4b1d-8ae5-0b50635f1075;569995c1-7fbc-4083-951a-942cc840900c;;;open
2026-03-18 07:00:13.82984+00;"{""amount"":12000000,""created_at"":""2026-03-02T00:00:00+00:00"",""hours_pending"":391,""portfolio_code"":""WIP2603023142""}";stale_approval;ed97ab0c-cf00-47a0-b3d7-07ca41892736;6513c7d7-20c7-43c1-9f5b-2cb5babe4402;;;open
2026-03-18 07:00:13.614633+00;"{""amount"":12683800,""created_at"":""2026-03-09T00:00:00+00:00"",""hours_pending"":223,""portfolio_code"":""WIP2603099499""}";stale_approval;bf973265-2ad6-45f2-ac36-76f99ad14182;ff2d55f4-a145-4b65-aa19-983fe470c91a;;;open
2026-03-18 07:00:13.39677+00;"{""amount"":14570383,""created_at"":""2026-03-05T00:00:00+00:00"",""hours_pending"":319,""portfolio_code"":""WIP2603053503""}";stale_approval;1502a4af-0acc-4d70-8fcd-869adcf4891b;58edc3a6-5ba7-4e3b-ad4f-acaaca6e1ebc;;;open
2026-03-18 07:00:13.162825+00;"{""amount"":14420040,""created_at"":""2026-03-09T00:00:00+00:00"",""hours_pending"":223,""portfolio_code"":""WIP2603097542""}";stale_approval;e11491d8-af6f-4687-8494-b8e92a59218a;5c172fd3-a6a4-4b1a-b422-03107dc71ac6;;;open
2026-03-18 07:00:12.93522+00;"{""amount"":4619441,""created_at"":""2026-03-10T00:00:00+00:00"",""hours_pending"":199,""portfolio_code"":""WIP2603101940""}";stale_approval;82660498-8fc2-4864-ab05-a8a9e1d0c6b5;23a51837-052e-42c1-958a-9dffa3ae333c;;;open
2026-03-18 07:00:12.701403+00;"{""amount"":1100000,""created_at"":""2026-03-14T00:00:00+00:00"",""hours_pending"":103,""portfolio_code"":""WIP2603141568""}";stale_approval;4d8ae4ab-7abb-4177-92a8-74d8baf5749a;d3fc1fa5-fe5f-4927-82b5-d63e0f3b50a4;;;open
2026-03-18 07:00:12.444517+00;"{""amount"":3500000,""created_at"":""2026-02-28T00:00:00+00:00"",""hours_pending"":439,""portfolio_code"":""WIP2602287389""}";stale_approval;92c520ba-2566-4d73-bfb7-b95b912fad3a;8fbfd586-8874-447f-a4d4-1c77da726df9;;;open
2026-03-18 07:00:12.200823+00;"{""amount"":3000000,""created_at"":""2026-03-02T00:00:00+00:00"",""hours_pending"":391,""portfolio_code"":""WIP2603024141""}";stale_approval;43c176d4-d892-4b81-8b46-f4ea71a42d0f;66b29db9-45a5-42fb-87c8-77c04c24f2d5;;;open
2026-03-18 07:00:11.953658+00;"{""amount"":2000000,""created_at"":""2026-03-13T00:00:00+00:00"",""hours_pending"":127,""portfolio_code"":""WIP2603133379""}";stale_approval;b1121a32-e811-4215-adf1-17c29c5a140a;55acc24e-6b04-4b16-851c-854a61ec3604;;;open
2026-03-18 07:00:11.697292+00;"{""amount"":1791590,""created_at"":""2026-03-06T00:00:00+00:00"",""hours_pending"":295,""portfolio_code"":""WIP2603067474""}";stale_approval;a3cf7610-79fc-4a56-b00e-9f2ab81c1414;3076fc39-8393-4ca2-9b51-cdfe7148db2d;;;open
2026-03-18 07:00:11.429183+00;"{""amount"":10000000,""created_at"":""2026-03-16T00:00:00+00:00"",""hours_pending"":55,""portfolio_code"":""WIP2603163335""}";stale_approval;605798ff-f04e-4e2c-9ea2-e65d55dd9014;d6b51bc8-c340-42e5-b3d9-c9ad48e7f7a9;;;open
2026-03-18 07:00:11.196132+00;"{""amount"":150000,""created_at"":""2026-03-01T00:00:00+00:00"",""hours_pending"":415,""portfolio_code"":""WIP2603018496""}";stale_approval;baaf8ee2-e5e4-4054-a7d7-51ce915725e6;39855e2e-8f67-41d2-a620-c62eec24c4ab;;;open
2026-03-18 07:00:10.967051+00;"{""amount"":5940000,""created_at"":""2026-03-10T00:00:00+00:00"",""hours_pending"":199,""portfolio_code"":""WIP2603109241""}";stale_approval;9e1602b6-effe-41ea-8753-958465af9a4b;8cbdac2b-7371-4820-aad0-fbe604e5f972;;;open
