column_default;column_name;data_type;is_nullable;table_name
gen_random_uuid();id;uuid;NO;agent_advance_ledger
;advance_id;uuid;NO;agent_advance_ledger
;date;date;NO;agent_advance_ledger
0;opening_balance;numeric;NO;agent_advance_ledger
0;interest_accrued;numeric;NO;agent_advance_ledger
0;amount_deducted;numeric;NO;agent_advance_ledger
0;closing_balance;numeric;NO;agent_advance_ledger
'none'::text;deduction_status;text;NO;agent_advance_ledger
now();created_at;timestamp with time zone;NO;agent_advance_ledger
gen_random_uuid();id;uuid;NO;agent_advance_topups
;advance_id;uuid;NO;agent_advance_topups
;amount;numeric;NO;agent_advance_topups
;topped_up_by;uuid;NO;agent_advance_topups
now();created_at;timestamp with time zone;NO;agent_advance_topups
0.33;monthly_rate;numeric;NO;agent_advance_topups
gen_random_uuid();id;uuid;NO;agent_advances
;agent_id;uuid;NO;agent_advances
0;principal;numeric;NO;agent_advances
0;outstanding_balance;numeric;NO;agent_advances
0.33;daily_rate;numeric;NO;agent_advances
30;cycle_days;integer;NO;agent_advances
now();issued_at;timestamp with time zone;NO;agent_advances
(now() + '30 days'::interval);expires_at;timestamp with time zone;NO;agent_advances
'active'::text;status;text;NO;agent_advances
;issued_by;uuid;NO;agent_advances
now();created_at;timestamp with time zone;NO;agent_advances
now();updated_at;timestamp with time zone;NO;agent_advances
0;registration_fee;numeric;YES;agent_advances
0;access_fee;numeric;YES;agent_advances
0;access_fee_collected;numeric;YES;agent_advances
'unpaid'::text;access_fee_status;text;YES;agent_advances
0.33;monthly_rate;numeric;NO;agent_advances
gen_random_uuid();id;uuid;NO;agent_collection_streaks
;agent_id;uuid;NO;agent_collection_streaks
0;current_streak;integer;YES;agent_collection_streaks
0;longest_streak;integer;YES;agent_collection_streaks
;last_collection_date;date;YES;agent_collection_streaks
1.0;streak_multiplier;numeric;YES;agent_collection_streaks
0;total_badges;integer;YES;agent_collection_streaks
'[]'::jsonb;badges;jsonb;YES;agent_collection_streaks
now();updated_at;timestamp with time zone;YES;agent_collection_streaks
gen_random_uuid();id;uuid;NO;agent_collections
;agent_id;uuid;NO;agent_collections
;tenant_id;uuid;NO;agent_collections
;token_id;uuid;YES;agent_collections
;amount;numeric;NO;agent_collections
;payment_method;USER-DEFINED;NO;agent_collections
0;float_before;numeric;NO;agent_collections
0;float_after;numeric;NO;agent_collections
now();created_at;timestamp with time zone;NO;agent_collections
;visit_id;uuid;YES;agent_collections
;momo_provider;text;YES;agent_collections
;momo_phone;text;YES;agent_collections
;momo_payer_name;text;YES;agent_collections
;momo_transaction_id;text;YES;agent_collections
;tracking_id;text;YES;agent_collections
;location_name;text;YES;agent_collections
false;sms_sent_agent;boolean;YES;agent_collections
false;sms_sent_tenant;boolean;YES;agent_collections
;notes;text;YES;agent_collections
gen_random_uuid();id;uuid;NO;agent_commission_payouts
;agent_id;uuid;NO;agent_commission_payouts
;amount;numeric;NO;agent_commission_payouts
;mobile_money_number;text;NO;agent_commission_payouts
;mobile_money_provider;text;NO;agent_commission_payouts
'pending'::text;status;text;NO;agent_commission_payouts
;transaction_id;text;YES;agent_commission_payouts
;rejection_reason;text;YES;agent_commission_payouts
now();requested_at;timestamp with time zone;NO;agent_commission_payouts
;processed_at;timestamp with time zone;YES;agent_commission_payouts
;processed_by;uuid;YES;agent_commission_payouts
now();created_at;timestamp with time zone;NO;agent_commission_payouts
now();updated_at;timestamp with time zone;NO;agent_commission_payouts
gen_random_uuid();id;uuid;NO;agent_delivery_confirmations
;disbursement_id;uuid;NO;agent_delivery_confirmations
;agent_id;uuid;NO;agent_delivery_confirmations
;rent_request_id;uuid;NO;agent_delivery_confirmations
'receipt_collected'::text;confirmation_type;text;NO;agent_delivery_confirmations
'{}'::text[];photo_urls;ARRAY;YES;agent_delivery_confirmations
;latitude;numeric;YES;agent_delivery_confirmations
;longitude;numeric;YES;agent_delivery_confirmations
;location_accuracy;numeric;YES;agent_delivery_confirmations
;landlord_signature_url;text;YES;agent_delivery_confirmations
;notes;text;YES;agent_delivery_confirmations
now();confirmed_at;timestamp with time zone;NO;agent_delivery_confirmations
now();created_at;timestamp with time zone;NO;agent_delivery_confirmations
gen_random_uuid();id;uuid;NO;agent_earnings
;agent_id;uuid;NO;agent_earnings
;amount;numeric;NO;agent_earnings
;earning_type;text;NO;agent_earnings
;source_user_id;uuid;YES;agent_earnings
;rent_request_id;uuid;YES;agent_earnings
;description;text;YES;agent_earnings
now();created_at;timestamp with time zone;NO;agent_earnings
gen_random_uuid();id;uuid;NO;agent_escalations
;agent_id;uuid;NO;agent_escalations
;escalation_type;text;NO;agent_escalations
'medium'::text;severity;text;NO;agent_escalations
;title;text;NO;agent_escalations
;description;text;YES;agent_escalations
'open'::text;status;text;NO;agent_escalations
;resolved_at;timestamp with time zone;YES;agent_escalations
;resolved_by;uuid;YES;agent_escalations
;resolution_notes;text;YES;agent_escalations
;tenant_id;uuid;YES;agent_escalations
'{}'::jsonb;metadata;jsonb;YES;agent_escalations
now();created_at;timestamp with time zone;NO;agent_escalations
now();updated_at;timestamp with time zone;NO;agent_escalations
gen_random_uuid();id;uuid;NO;agent_float_funding
;agent_id;uuid;NO;agent_float_funding
;amount;numeric;NO;agent_float_funding
;funded_by;uuid;YES;agent_float_funding
;notes;text;YES;agent_float_funding
now();created_at;timestamp with time zone;NO;agent_float_funding
;bank_reference;text;YES;agent_float_funding
'Equity Bank Uganda'::text;bank_name;text;YES;agent_float_funding
'active'::text;status;text;NO;agent_float_funding
gen_random_uuid();id;uuid;NO;agent_float_limits
;agent_id;uuid;NO;agent_float_limits
0;float_limit;numeric;NO;agent_float_limits
0;collected_today;numeric;NO;agent_float_limits
CURRENT_DATE;last_reset_date;date;NO;agent_float_limits
;assigned_by;uuid;YES;agent_float_limits
now();created_at;timestamp with time zone;NO;agent_float_limits
now();updated_at;timestamp with time zone;NO;agent_float_limits
0;cash_on_hand;numeric;YES;agent_float_limits
20;low_threshold_pct;numeric;YES;agent_float_limits
10;critical_threshold_pct;numeric;YES;agent_float_limits
5000000;daily_txn_limit;numeric;YES;agent_float_limits
false;is_paused;boolean;YES;agent_float_limits
gen_random_uuid();id;uuid;NO;agent_float_withdrawals
;agent_id;uuid;NO;agent_float_withdrawals
;rent_request_id;uuid;NO;agent_float_withdrawals
;landlord_id;uuid;NO;agent_float_withdrawals
;tenant_id;uuid;YES;agent_float_withdrawals
;amount;numeric;NO;agent_float_withdrawals
;landlord_name;text;NO;agent_float_withdrawals
;landlord_phone;text;NO;agent_float_withdrawals
;mobile_money_provider;text;NO;agent_float_withdrawals
;transaction_id;text;YES;agent_float_withdrawals
;receipt_photo_urls;ARRAY;YES;agent_float_withdrawals
;agent_latitude;numeric;YES;agent_float_withdrawals
;agent_longitude;numeric;YES;agent_float_withdrawals
;agent_location_accuracy;numeric;YES;agent_float_withdrawals
;landlord_latitude;numeric;YES;agent_float_withdrawals
;landlord_longitude;numeric;YES;agent_float_withdrawals
;landlord_location_accuracy;numeric;YES;agent_float_withdrawals
;property_latitude;numeric;YES;agent_float_withdrawals
;property_longitude;numeric;YES;agent_float_withdrawals
false;gps_match;boolean;YES;agent_float_withdrawals
;gps_distance_meters;numeric;YES;agent_float_withdrawals
'pending_agent_ops'::text;status;text;NO;agent_float_withdrawals
;agent_ops_reviewed_by;uuid;YES;agent_float_withdrawals
;agent_ops_reviewed_at;timestamp with time zone;YES;agent_float_withdrawals
;agent_ops_notes;text;YES;agent_float_withdrawals
;manager_reviewed_by;uuid;YES;agent_float_withdrawals
;manager_reviewed_at;timestamp with time zone;YES;agent_float_withdrawals
;manager_notes;text;YES;agent_float_withdrawals
;notes;text;YES;agent_float_withdrawals
now();created_at;timestamp with time zone;NO;agent_float_withdrawals
now();updated_at;timestamp with time zone;NO;agent_float_withdrawals
gen_random_uuid();id;uuid;NO;agent_form_tokens
;agent_id;uuid;NO;agent_form_tokens
;token;text;NO;agent_form_tokens
(now() + '72:00:00'::interval);expires_at;timestamp with time zone;NO;agent_form_tokens
50;max_uses;integer;NO;agent_form_tokens
0;uses_count;integer;NO;agent_form_tokens
true;is_active;boolean;NO;agent_form_tokens
now();created_at;timestamp with time zone;NO;agent_form_tokens
gen_random_uuid();id;uuid;NO;agent_goals
;agent_id;uuid;NO;agent_goals
;goal_month;date;NO;agent_goals
10;target_registrations;integer;NO;agent_goals
;target_activations;integer;YES;agent_goals
;notes;text;YES;agent_goals
now();created_at;timestamp with time zone;NO;agent_goals
now();updated_at;timestamp with time zone;NO;agent_goals
gen_random_uuid();id;uuid;NO;agent_incentive_bonuses
;agent_id;uuid;NO;agent_incentive_bonuses
;bonus_type;text;NO;agent_incentive_bonuses
0;amount;numeric;YES;agent_incentive_bonuses
;description;text;YES;agent_incentive_bonuses
'{}'::jsonb;metadata;jsonb;YES;agent_incentive_bonuses
now();awarded_at;timestamp with time zone;YES;agent_incentive_bonuses
now();created_at;timestamp with time zone;YES;agent_incentive_bonuses
gen_random_uuid();id;uuid;NO;agent_landlord_assignments
;agent_id;uuid;NO;agent_landlord_assignments
;landlord_id;uuid;NO;agent_landlord_assignments
;rent_request_id;uuid;YES;agent_landlord_assignments
now();assigned_at;timestamp with time zone;NO;agent_landlord_assignments
'active'::text;status;text;NO;agent_landlord_assignments
now();created_at;timestamp with time zone;NO;agent_landlord_assignments
gen_random_uuid();id;uuid;NO;agent_landlord_float
;agent_id;uuid;NO;agent_landlord_float
0;balance;numeric;NO;agent_landlord_float
0;total_funded;numeric;NO;agent_landlord_float
0;total_paid_out;numeric;NO;agent_landlord_float
now();created_at;timestamp with time zone;NO;agent_landlord_float
now();updated_at;timestamp with time zone;NO;agent_landlord_float
gen_random_uuid();id;uuid;NO;agent_landlord_payouts
;agent_id;uuid;YES;agent_landlord_payouts
;rent_request_id;uuid;NO;agent_landlord_payouts
;landlord_id;uuid;NO;agent_landlord_payouts
;tenant_id;uuid;NO;agent_landlord_payouts
;amount;numeric;NO;agent_landlord_payouts
;landlord_phone;text;NO;agent_landlord_payouts
;landlord_name;text;NO;agent_landlord_payouts
;mobile_money_provider;text;NO;agent_landlord_payouts
;transaction_id;text;YES;agent_landlord_payouts
'{}'::text[];receipt_photo_urls;ARRAY;YES;agent_landlord_payouts
;latitude;numeric;YES;agent_landlord_payouts
;longitude;numeric;YES;agent_landlord_payouts
;location_accuracy;numeric;YES;agent_landlord_payouts
;property_latitude;numeric;YES;agent_landlord_payouts
;property_longitude;numeric;YES;agent_landlord_payouts
false;gps_match;boolean;YES;agent_landlord_payouts
;gps_distance_meters;numeric;YES;agent_landlord_payouts
'pending_receipt'::text;status;text;NO;agent_landlord_payouts
;landlord_ops_approved_by;uuid;YES;agent_landlord_payouts
;landlord_ops_approved_at;timestamp with time zone;YES;agent_landlord_payouts
;landlord_ops_notes;text;YES;agent_landlord_payouts
;cfo_approved_by;uuid;YES;agent_landlord_payouts
;cfo_approved_at;timestamp with time zone;YES;agent_landlord_payouts
;cfo_notes;text;YES;agent_landlord_payouts
;rejection_reason;text;YES;agent_landlord_payouts
;notes;text;YES;agent_landlord_payouts
now();created_at;timestamp with time zone;NO;agent_landlord_payouts
now();updated_at;timestamp with time zone;NO;agent_landlord_payouts
gen_random_uuid();id;uuid;NO;agent_rebalance_records
;agent_id;uuid;NO;agent_rebalance_records
;amount;numeric;NO;agent_rebalance_records
;direction;text;NO;agent_rebalance_records
;method;text;YES;agent_rebalance_records
;reference_id;text;YES;agent_rebalance_records
;approved_by;uuid;YES;agent_rebalance_records
now();created_at;timestamp with time zone;NO;agent_rebalance_records
gen_random_uuid();id;uuid;NO;agent_receipts
;agent_id;uuid;NO;agent_receipts
;payer_name;text;NO;agent_receipts
;payer_phone;text;NO;agent_receipts
;amount;numeric;NO;agent_receipts
'cash'::text;payment_method;text;NO;agent_receipts
;transaction_id;text;YES;agent_receipts
;receipt_image_url;text;YES;agent_receipts
;notes;text;YES;agent_receipts
now();created_at;timestamp with time zone;NO;agent_receipts
gen_random_uuid();id;uuid;NO;agent_subagents
;parent_agent_id;uuid;NO;agent_subagents
;sub_agent_id;uuid;NO;agent_subagents
now();created_at;timestamp with time zone;NO;agent_subagents
'invite'::text;source;text;NO;agent_subagents
'pending'::text;status;text;NO;agent_subagents
;verified_by;uuid;YES;agent_subagents
;verified_at;timestamp with time zone;YES;agent_subagents
;rejection_reason;text;YES;agent_subagents
gen_random_uuid();id;uuid;NO;agent_tasks
;agent_id;uuid;NO;agent_tasks
;assigned_by;uuid;YES;agent_tasks
'general'::text;task_type;text;NO;agent_tasks
;title;text;NO;agent_tasks
;description;text;YES;agent_tasks
'medium'::text;priority;text;NO;agent_tasks
'pending'::text;status;text;NO;agent_tasks
;due_date;timestamp with time zone;YES;agent_tasks
;completed_at;timestamp with time zone;YES;agent_tasks
;tenant_id;uuid;YES;agent_tasks
;rent_request_id;uuid;YES;agent_tasks
false;gps_required;boolean;YES;agent_tasks
;completion_latitude;double precision;YES;agent_tasks
;completion_longitude;double precision;YES;agent_tasks
;completion_notes;text;YES;agent_tasks
now();created_at;timestamp with time zone;NO;agent_tasks
now();updated_at;timestamp with time zone;NO;agent_tasks
gen_random_uuid();id;uuid;NO;agent_visits
;agent_id;uuid;NO;agent_visits
;tenant_id;uuid;NO;agent_visits
;latitude;double precision;NO;agent_visits
;longitude;double precision;NO;agent_visits
;accuracy;double precision;YES;agent_visits
now();checked_in_at;timestamp with time zone;NO;agent_visits
now();created_at;timestamp with time zone;NO;agent_visits
;location_name;text;YES;agent_visits
gen_random_uuid();id;uuid;NO;ai_chat_messages
;user_id;uuid;NO;ai_chat_messages
;role;text;NO;ai_chat_messages
;content;text;NO;ai_chat_messages
now();created_at;timestamp with time zone;NO;ai_chat_messages
gen_random_uuid();id;uuid;NO;angel_pool_config
500000000;total_pool_ugx;bigint;NO;angel_pool_config
25000;total_shares;integer;NO;angel_pool_config
20000;price_per_share;integer;NO;angel_pool_config
8.00;pool_equity_percent;numeric;NO;angel_pool_config
now();updated_at;timestamp with time zone;YES;angel_pool_config
;updated_by;uuid;YES;angel_pool_config
gen_random_uuid();id;uuid;NO;angel_pool_investments
;investor_id;uuid;NO;angel_pool_investments
;amount;bigint;NO;angel_pool_investments
;shares;integer;NO;angel_pool_investments
;pool_ownership_percent;numeric;NO;angel_pool_investments
;company_ownership_percent;numeric;NO;angel_pool_investments
'confirmed'::text;status;text;NO;angel_pool_investments
;transaction_group_id;uuid;YES;angel_pool_investments
;reference_id;text;YES;angel_pool_investments
now();created_at;timestamp with time zone;NO;angel_pool_investments
;agent_id;uuid;YES;angel_pool_investments
;payment_method;text;YES;angel_pool_investments
;investment_reference;text;YES;angel_pool_investments
gen_random_uuid();id;uuid;NO;audit_logs
;user_id;uuid;YES;audit_logs
;action_type;text;NO;audit_logs
;table_name;text;YES;audit_logs
;record_id;text;YES;audit_logs
'{}'::jsonb;metadata;jsonb;YES;audit_logs
now();created_at;timestamp with time zone;YES;audit_logs
;action;text;YES;audit_logs
gen_random_uuid();id;uuid;NO;cart_items
;user_id;uuid;NO;cart_items
;product_id;uuid;NO;cart_items
1;quantity;integer;NO;cart_items
now();created_at;timestamp with time zone;NO;cart_items
now();updated_at;timestamp with time zone;NO;cart_items
gen_random_uuid();id;uuid;NO;cashout_agents
;agent_id;uuid;NO;cashout_agents
;assigned_by;uuid;NO;cashout_agents
true;is_active;boolean;NO;cashout_agents
true;handles_cash;boolean;NO;cashout_agents
true;handles_bank;boolean;NO;cashout_agents
;label;text;YES;cashout_agents
now();created_at;timestamp with time zone;NO;cashout_agents
now();updated_at;timestamp with time zone;NO;cashout_agents
50;max_daily_payouts;integer;YES;cashout_agents
0;current_queue_count;integer;YES;cashout_agents
true;handles_mtn;boolean;YES;cashout_agents
true;handles_airtel;boolean;YES;cashout_agents
500000;priority_threshold;numeric;YES;cashout_agents
gen_random_uuid();id;uuid;NO;cfo_threshold_alerts
;alert_type;text;NO;cfo_threshold_alerts
'warning'::text;severity;text;NO;cfo_threshold_alerts
;title;text;NO;cfo_threshold_alerts
;description;text;YES;cfo_threshold_alerts
;threshold_value;numeric;YES;cfo_threshold_alerts
;current_value;numeric;YES;cfo_threshold_alerts
false;acknowledged;boolean;YES;cfo_threshold_alerts
;acknowledged_by;uuid;YES;cfo_threshold_alerts
;acknowledged_at;timestamp with time zone;YES;cfo_threshold_alerts
now();created_at;timestamp with time zone;NO;cfo_threshold_alerts
gen_random_uuid();id;uuid;NO;commission_accrual_ledger
;agent_id;uuid;YES;commission_accrual_ledger
;source_type;text;NO;commission_accrual_ledger
;source_id;text;YES;commission_accrual_ledger
;tenant_id;uuid;YES;commission_accrual_ledger
;amount;numeric;NO;commission_accrual_ledger
'earned'::text;status;text;NO;commission_accrual_ledger
now();earned_at;timestamp with time zone;NO;commission_accrual_ledger
;approved_at;timestamp with time zone;YES;commission_accrual_ledger
;approved_by;uuid;YES;commission_accrual_ledger
;paid_at;timestamp with time zone;YES;commission_accrual_ledger
;rejected_at;timestamp with time zone;YES;commission_accrual_ledger
;rejection_reason;text;YES;commission_accrual_ledger
;description;text;YES;commission_accrual_ledger
now();created_at;timestamp with time zone;NO;commission_accrual_ledger
;percentage;numeric;YES;commission_accrual_ledger
'repayment'::text;event_type;text;YES;commission_accrual_ledger
