table_name,constraint_name,constraint_type,column_name,foreign_table,foreign_column
advance_fee_config,2200_174016_1_not_null,CHECK,,,
advance_fee_config,2200_174016_4_not_null,CHECK,,,
advance_fee_config,2200_174016_3_not_null,CHECK,,,
advance_fee_config,2200_174016_2_not_null,CHECK,,,
advance_fee_config,2200_174016_6_not_null,CHECK,,,
advance_fee_config,advance_fee_config_updated_by_fkey,FOREIGN KEY,updated_by,,
advance_fee_config,advance_fee_config_pkey,PRIMARY KEY,id,,
agent_advance_ledger,2200_108964_4_not_null,CHECK,,,
agent_advance_ledger,agent_advance_ledger_deduction_status_check,CHECK,,,
agent_advance_ledger,2200_108964_5_not_null,CHECK,,,
agent_advance_ledger,2200_108964_6_not_null,CHECK,,,
agent_advance_ledger,2200_108964_7_not_null,CHECK,,,
agent_advance_ledger,2200_108964_8_not_null,CHECK,,,
agent_advance_ledger,2200_108964_9_not_null,CHECK,,,
agent_advance_ledger,2200_108964_2_not_null,CHECK,,,
agent_advance_ledger,2200_108964_3_not_null,CHECK,,,
agent_advance_ledger,2200_108964_1_not_null,CHECK,,,
agent_advance_ledger,agent_advance_ledger_advance_id_fkey,FOREIGN KEY,advance_id,,
agent_advance_ledger,agent_advance_ledger_pkey,PRIMARY KEY,id,,
agent_advance_requests,2200_173960_2_not_null,CHECK,,,
agent_advance_requests,2200_173960_30_not_null,CHECK,,,
agent_advance_requests,2200_173960_29_not_null,CHECK,,,
agent_advance_requests,2200_173960_11_not_null,CHECK,,,
agent_advance_requests,2200_173960_10_not_null,CHECK,,,
agent_advance_requests,2200_173960_9_not_null,CHECK,,,
agent_advance_requests,2200_173960_8_not_null,CHECK,,,
agent_advance_requests,2200_173960_7_not_null,CHECK,,,
agent_advance_requests,2200_173960_6_not_null,CHECK,,,
agent_advance_requests,2200_173960_5_not_null,CHECK,,,
agent_advance_requests,2200_173960_4_not_null,CHECK,,,
agent_advance_requests,2200_173960_3_not_null,CHECK,,,
agent_advance_requests,2200_173960_1_not_null,CHECK,,,
agent_advance_requests,agent_advance_requests_approved_by_coo_fkey,FOREIGN KEY,approved_by_coo,,
agent_advance_requests,agent_advance_requests_reviewed_by_tenant_ops_fkey,FOREIGN KEY,reviewed_by_tenant_ops,,
agent_advance_requests,agent_advance_requests_reviewed_by_landlord_ops_fkey,FOREIGN KEY,reviewed_by_landlord_ops,,
agent_advance_requests,agent_advance_requests_reviewed_by_agent_ops_fkey,FOREIGN KEY,reviewed_by_agent_ops,,
agent_advance_requests,agent_advance_requests_agent_id_fkey,FOREIGN KEY,agent_id,,
agent_advance_requests,agent_advance_requests_paid_by_cfo_fkey,FOREIGN KEY,paid_by_cfo,,
agent_advance_requests,agent_advance_requests_pkey,PRIMARY KEY,id,,
agent_advance_topups,2200_108984_4_not_null,CHECK,,,
agent_advance_topups,2200_108984_6_not_null,CHECK,,,
agent_advance_topups,2200_108984_5_not_null,CHECK,,,
agent_advance_topups,2200_108984_1_not_null,CHECK,,,
agent_advance_topups,2200_108984_2_not_null,CHECK,,,
agent_advance_topups,2200_108984_3_not_null,CHECK,,,
agent_advance_topups,agent_advance_topups_advance_id_fkey,FOREIGN KEY,advance_id,,
agent_advance_topups,agent_advance_topups_topped_up_by_fkey,FOREIGN KEY,topped_up_by,,
agent_advance_topups,agent_advance_topups_pkey,PRIMARY KEY,id,,
agent_advances,2200_108936_1_not_null,CHECK,,,
agent_advances,2200_108936_5_not_null,CHECK,,,
agent_advances,2200_108936_3_not_null,CHECK,,,
agent_advances,2200_108936_2_not_null,CHECK,,,
agent_advances,agent_advances_status_check,CHECK,,,
agent_advances,2200_108936_10_not_null,CHECK,,,
agent_advances,2200_108936_11_not_null,CHECK,,,
agent_advances,2200_108936_12_not_null,CHECK,,,
agent_advances,2200_108936_17_not_null,CHECK,,,
agent_advances,2200_108936_9_not_null,CHECK,,,
agent_advances,2200_108936_8_not_null,CHECK,,,
agent_advances,2200_108936_7_not_null,CHECK,,,
agent_advances,2200_108936_6_not_null,CHECK,,,
agent_advances,2200_108936_4_not_null,CHECK,,,
agent_advances,agent_advances_issued_by_fkey,FOREIGN KEY,issued_by,,
agent_advances,agent_advances_agent_id_fkey,FOREIGN KEY,agent_id,,
