schema,enum_name,enum_value
public,ai_priority,low
public,ai_priority,medium
public,ai_priority,high
public,ai_priority,critical
public,ai_recommendation_status,pending
public,ai_recommendation_status,approved
public,ai_recommendation_status,rejected
public,ai_recommendation_status,auto_executed
public,ai_recommendation_status,expired
public,app_role,tenant
public,app_role,agent
public,app_role,landlord
public,app_role,supporter
public,app_role,manager
public,app_role,ceo
public,app_role,coo
public,app_role,cfo
public,app_role,cto
public,app_role,cmo
public,app_role,crm
public,app_role,employee
public,app_role,operations
public,app_role,super_admin
public,app_role,hr
public,automation_action_type,send_notification
public,automation_action_type,send_push
public,automation_action_type,update_risk_score
public,automation_action_type,flag_account
public,automation_action_type,unflag_account
public,automation_action_type,send_reminder
public,automation_action_type,escalate_to_manager
public,automation_action_type,apply_late_fee
public,automation_action_type,restrict_access
public,collection_payment_method,mobile_money
public,collection_payment_method,cash
public,collection_payment_method,in_app_wallet
public,deposit_purpose,operational_float
public,deposit_purpose,personal_deposit
public,deposit_purpose,partnership_deposit
public,deposit_purpose,personal_rent_repayment
public,deposit_purpose,other
public,disciplinary_action_type,verbal_warning
public,disciplinary_action_type,written_warning
public,disciplinary_action_type,suspension
public,disciplinary_action_type,termination
public,disciplinary_action_type,probation
public,expense_category,operations
public,expense_category,marketing
public,expense_category,research_and_development
public,expense_category,salaries
public,expense_category,agent_advances
public,expense_category,employee_advances
public,expense_category,general
public,flag_severity,low
public,flag_severity,medium
public,flag_severity,high
public,flag_severity,critical
public,leave_type,annual
public,leave_type,sick
public,leave_type,personal
public,leave_type,maternity
public,leave_type,paternity
public,system_event_type,payment_missed
public,system_event_type,payment_made
public,system_event_type,payment_overdue
public,system_event_type,tenant_created
public,system_event_type,agent_created
public,system_event_type,supporter_created
public,system_event_type,funds_added
public,system_event_type,funds_withdrawn
public,system_event_type,rent_request_created
public,system_event_type,rent_request_approved
public,system_event_type,rent_request_funded
public,system_event_type,rent_request_disbursed
public,system_event_type,account_activated
public,system_event_type,account_inactive
public,system_event_type,risk_score_changed
public,system_event_type,account_flagged
public,system_event_type,reminder_sent
public,system_event_type,deposit_approved
public,system_event_type,deposit_rejected
public,system_event_type,withdrawal_requested
public,system_event_type,withdrawal_approved
public,system_event_type,withdrawal_rejected
public,system_event_type,wallet_transfer
public,system_event_type,portfolio_topup
public,system_event_type,rent_disbursed
public,system_event_type,roi_distributed
public,system_event_type,loan_approved
public,system_event_type,loan_rejected
public,system_event_type,expense_transfer
public,system_event_type,agent_collection
public,system_event_type,role_changed
public,system_event_type,user_deleted
public,system_event_type,password_reset
public,system_event_type,login_success
public,system_event_type,listing_created
public,system_event_type,listing_approved
