schemaname,tablename,indexname,indexdef
public,advance_fee_config,advance_fee_config_pkey,CREATE UNIQUE INDEX advance_fee_config_pkey ON public.advance_fee_config USING btree (id)
public,agent_advance_ledger,agent_advance_ledger_pkey,CREATE UNIQUE INDEX agent_advance_ledger_pkey ON public.agent_advance_ledger USING btree (id)
public,agent_advance_ledger,idx_agent_advance_ledger_advance_id,CREATE INDEX idx_agent_advance_ledger_advance_id ON public.agent_advance_ledger USING btree (advance_id)
public,agent_advance_ledger,idx_agent_advance_ledger_date,CREATE INDEX idx_agent_advance_ledger_date ON public.agent_advance_ledger USING btree (date)
public,agent_advance_requests,agent_advance_requests_pkey,CREATE UNIQUE INDEX agent_advance_requests_pkey ON public.agent_advance_requests USING btree (id)
public,agent_advance_requests,idx_agent_advance_requests_agent_id,CREATE INDEX idx_agent_advance_requests_agent_id ON public.agent_advance_requests USING btree (agent_id)
public,agent_advance_requests,idx_agent_advance_requests_status,CREATE INDEX idx_agent_advance_requests_status ON public.agent_advance_requests USING btree (status)
public,agent_advance_topups,agent_advance_topups_pkey,CREATE UNIQUE INDEX agent_advance_topups_pkey ON public.agent_advance_topups USING btree (id)
public,agent_advance_topups,idx_agent_advance_topups_advance_id,CREATE INDEX idx_agent_advance_topups_advance_id ON public.agent_advance_topups USING btree (advance_id)
public,agent_advances,agent_advances_pkey,CREATE UNIQUE INDEX agent_advances_pkey ON public.agent_advances USING btree (id)
public,agent_advances,idx_agent_advances_agent_id,CREATE INDEX idx_agent_advances_agent_id ON public.agent_advances USING btree (agent_id)
public,agent_advances,idx_agent_advances_status,CREATE INDEX idx_agent_advances_status ON public.agent_advances USING btree (status)
public,agent_collection_streaks,agent_collection_streaks_agent_id_key,CREATE UNIQUE INDEX agent_collection_streaks_agent_id_key ON public.agent_collection_streaks USING btree (agent_id)
public,agent_collection_streaks,agent_collection_streaks_pkey,CREATE UNIQUE INDEX agent_collection_streaks_pkey ON public.agent_collection_streaks USING btree (id)
public,agent_collections,agent_collections_pkey,CREATE UNIQUE INDEX agent_collections_pkey ON public.agent_collections USING btree (id)
public,agent_commission_payouts,agent_commission_payouts_pkey,CREATE UNIQUE INDEX agent_commission_payouts_pkey ON public.agent_commission_payouts USING btree (id)
public,agent_commission_payouts,idx_agent_commission_payouts_agent_id,CREATE INDEX idx_agent_commission_payouts_agent_id ON public.agent_commission_payouts USING btree (agent_id)
public,agent_commission_payouts,idx_agent_commission_payouts_status,CREATE INDEX idx_agent_commission_payouts_status ON public.agent_commission_payouts USING btree (status)
public,agent_delivery_confirmations,agent_delivery_confirmations_pkey,CREATE UNIQUE INDEX agent_delivery_confirmations_pkey ON public.agent_delivery_confirmations USING btree (id)
public,agent_delivery_confirmations,idx_delivery_conf_disbursement,CREATE INDEX idx_delivery_conf_disbursement ON public.agent_delivery_confirmations USING btree (disbursement_id)
public,agent_earnings,agent_earnings_pkey,CREATE UNIQUE INDEX agent_earnings_pkey ON public.agent_earnings USING btree (id)
public,agent_earnings,idx_agent_earnings_agent,"CREATE INDEX idx_agent_earnings_agent ON public.agent_earnings USING btree (agent_id, created_at DESC)"
public,agent_earnings,idx_agent_earnings_type,"CREATE INDEX idx_agent_earnings_type ON public.agent_earnings USING btree (agent_id, earning_type)"
public,agent_escalations,agent_escalations_pkey,CREATE UNIQUE INDEX agent_escalations_pkey ON public.agent_escalations USING btree (id)
public,agent_float_funding,agent_float_funding_pkey,CREATE UNIQUE INDEX agent_float_funding_pkey ON public.agent_float_funding USING btree (id)
public,agent_float_limits,agent_float_limits_agent_id_key,CREATE UNIQUE INDEX agent_float_limits_agent_id_key ON public.agent_float_limits USING btree (agent_id)
public,agent_float_limits,agent_float_limits_pkey,CREATE UNIQUE INDEX agent_float_limits_pkey ON public.agent_float_limits USING btree (id)
public,agent_float_withdrawals,agent_float_withdrawals_pkey,CREATE UNIQUE INDEX agent_float_withdrawals_pkey ON public.agent_float_withdrawals USING btree (id)
public,agent_form_tokens,agent_form_tokens_pkey,CREATE UNIQUE INDEX agent_form_tokens_pkey ON public.agent_form_tokens USING btree (id)
public,agent_form_tokens,agent_form_tokens_token_key,CREATE UNIQUE INDEX agent_form_tokens_token_key ON public.agent_form_tokens USING btree (token)
public,agent_form_tokens,idx_agent_form_tokens_agent,CREATE INDEX idx_agent_form_tokens_agent ON public.agent_form_tokens USING btree (agent_id)
public,agent_form_tokens,idx_agent_form_tokens_token,CREATE INDEX idx_agent_form_tokens_token ON public.agent_form_tokens USING btree (token)
public,agent_goals,agent_goals_agent_id_goal_month_key,"CREATE UNIQUE INDEX agent_goals_agent_id_goal_month_key ON public.agent_goals USING btree (agent_id, goal_month)"
public,agent_goals,agent_goals_pkey,CREATE UNIQUE INDEX agent_goals_pkey ON public.agent_goals USING btree (id)
public,agent_incentive_bonuses,agent_incentive_bonuses_pkey,CREATE UNIQUE INDEX agent_incentive_bonuses_pkey ON public.agent_incentive_bonuses USING btree (id)
public,agent_landlord_assignments,agent_landlord_assignments_agent_id_landlord_id_key,"CREATE UNIQUE INDEX agent_landlord_assignments_agent_id_landlord_id_key ON public.agent_landlord_assignments USING btree (agent_id, landlord_id)"
public,agent_landlord_assignments,agent_landlord_assignments_pkey,CREATE UNIQUE INDEX agent_landlord_assignments_pkey ON public.agent_landlord_assignments USING btree (id)
public,agent_landlord_float,agent_landlord_float_agent_id_key,CREATE UNIQUE INDEX agent_landlord_float_agent_id_key ON public.agent_landlord_float USING btree (agent_id)
public,agent_landlord_float,agent_landlord_float_pkey,CREATE UNIQUE INDEX agent_landlord_float_pkey ON public.agent_landlord_float USING btree (id)
public,agent_landlord_payouts,agent_landlord_payouts_pkey,CREATE UNIQUE INDEX agent_landlord_payouts_pkey ON public.agent_landlord_payouts USING btree (id)
public,agent_landlord_payouts,idx_agent_landlord_payouts_agent,CREATE INDEX idx_agent_landlord_payouts_agent ON public.agent_landlord_payouts USING btree (agent_id)
public,agent_landlord_payouts,idx_agent_landlord_payouts_rent_request,CREATE INDEX idx_agent_landlord_payouts_rent_request ON public.agent_landlord_payouts USING btree (rent_request_id)
public,agent_landlord_payouts,idx_agent_landlord_payouts_status,CREATE INDEX idx_agent_landlord_payouts_status ON public.agent_landlord_payouts USING btree (status)
public,agent_rebalance_records,agent_rebalance_records_pkey,CREATE UNIQUE INDEX agent_rebalance_records_pkey ON public.agent_rebalance_records USING btree (id)
public,agent_rebalance_records,idx_rebalance_agent,"CREATE INDEX idx_rebalance_agent ON public.agent_rebalance_records USING btree (agent_id, created_at DESC)"
public,agent_receipts,agent_receipts_pkey,CREATE UNIQUE INDEX agent_receipts_pkey ON public.agent_receipts USING btree (id)
public,agent_subagents,agent_subagents_pkey,CREATE UNIQUE INDEX agent_subagents_pkey ON public.agent_subagents USING btree (id)
public,agent_subagents,idx_agent_subagents_parent,CREATE INDEX idx_agent_subagents_parent ON public.agent_subagents USING btree (parent_agent_id)
public,agent_subagents,unique_subagent,CREATE UNIQUE INDEX unique_subagent ON public.agent_subagents USING btree (sub_agent_id)
public,agent_tasks,agent_tasks_pkey,CREATE UNIQUE INDEX agent_tasks_pkey ON public.agent_tasks USING btree (id)
public,agent_visits,agent_visits_pkey,CREATE UNIQUE INDEX agent_visits_pkey ON public.agent_visits USING btree (id)
public,ai_chat_messages,ai_chat_messages_pkey,CREATE UNIQUE INDEX ai_chat_messages_pkey ON public.ai_chat_messages USING btree (id)
public,ai_chat_messages,idx_ai_chat_messages_user_id,"CREATE INDEX idx_ai_chat_messages_user_id ON public.ai_chat_messages USING btree (user_id, created_at DESC)"
