table_name,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length
advance_fee_config,id,uuid,uuid,NO,gen_random_uuid(),
advance_fee_config,default_monthly_rate,numeric,numeric,NO,0.33,
advance_fee_config,min_rate,numeric,numeric,NO,0.28,
advance_fee_config,max_rate,numeric,numeric,NO,0.33,
advance_fee_config,updated_by,uuid,uuid,YES,,
advance_fee_config,updated_at,timestamp with time zone,timestamptz,NO,now(),
agent_advance_ledger,id,uuid,uuid,NO,gen_random_uuid(),
agent_advance_ledger,advance_id,uuid,uuid,NO,,
agent_advance_ledger,date,date,date,NO,,
agent_advance_ledger,opening_balance,numeric,numeric,NO,0,
agent_advance_ledger,interest_accrued,numeric,numeric,NO,0,
agent_advance_ledger,amount_deducted,numeric,numeric,NO,0,
agent_advance_ledger,closing_balance,numeric,numeric,NO,0,
agent_advance_ledger,deduction_status,text,text,NO,'none'::text,
agent_advance_ledger,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_advance_requests,id,uuid,uuid,NO,gen_random_uuid(),
agent_advance_requests,agent_id,uuid,uuid,NO,,
agent_advance_requests,principal,numeric,numeric,NO,0,
agent_advance_requests,cycle_days,integer,int4,NO,30,
agent_advance_requests,monthly_rate,numeric,numeric,NO,0.33,
agent_advance_requests,access_fee,numeric,numeric,NO,0,
agent_advance_requests,registration_fee,numeric,numeric,NO,0,
agent_advance_requests,total_payable,numeric,numeric,NO,0,
agent_advance_requests,daily_payment,numeric,numeric,NO,0,
agent_advance_requests,reason,text,text,NO,''::text,
agent_advance_requests,status,text,text,NO,'pending'::text,
agent_advance_requests,reviewed_by_agent_ops,uuid,uuid,YES,,
agent_advance_requests,agent_ops_reviewed_at,timestamp with time zone,timestamptz,YES,,
agent_advance_requests,agent_ops_notes,text,text,YES,,
agent_advance_requests,reviewed_by_tenant_ops,uuid,uuid,YES,,
agent_advance_requests,tenant_ops_reviewed_at,timestamp with time zone,timestamptz,YES,,
agent_advance_requests,tenant_ops_notes,text,text,YES,,
agent_advance_requests,reviewed_by_landlord_ops,uuid,uuid,YES,,
agent_advance_requests,landlord_ops_reviewed_at,timestamp with time zone,timestamptz,YES,,
agent_advance_requests,landlord_ops_notes,text,text,YES,,
agent_advance_requests,approved_by_coo,uuid,uuid,YES,,
agent_advance_requests,coo_approved_at,timestamp with time zone,timestamptz,YES,,
agent_advance_requests,coo_notes,text,text,YES,,
agent_advance_requests,paid_by_cfo,uuid,uuid,YES,,
agent_advance_requests,cfo_paid_at,timestamp with time zone,timestamptz,YES,,
agent_advance_requests,cfo_adjusted_rate,numeric,numeric,YES,,
agent_advance_requests,cfo_notes,text,text,YES,,
agent_advance_requests,rejection_reason,text,text,YES,,
agent_advance_requests,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_advance_requests,updated_at,timestamp with time zone,timestamptz,NO,now(),
agent_advance_topups,id,uuid,uuid,NO,gen_random_uuid(),
agent_advance_topups,advance_id,uuid,uuid,NO,,
agent_advance_topups,amount,numeric,numeric,NO,,
agent_advance_topups,topped_up_by,uuid,uuid,NO,,
agent_advance_topups,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_advance_topups,monthly_rate,numeric,numeric,NO,0.33,
agent_advances,id,uuid,uuid,NO,gen_random_uuid(),
agent_advances,agent_id,uuid,uuid,NO,,
agent_advances,principal,numeric,numeric,NO,0,
agent_advances,outstanding_balance,numeric,numeric,NO,0,
agent_advances,daily_rate,numeric,numeric,NO,0.33,
agent_advances,cycle_days,integer,int4,NO,30,
agent_advances,issued_at,timestamp with time zone,timestamptz,NO,now(),
agent_advances,expires_at,timestamp with time zone,timestamptz,NO,(now() + '30 days'::interval),
agent_advances,status,text,text,NO,'active'::text,
agent_advances,issued_by,uuid,uuid,NO,,
agent_advances,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_advances,updated_at,timestamp with time zone,timestamptz,NO,now(),
agent_advances,registration_fee,numeric,numeric,YES,0,
agent_advances,access_fee,numeric,numeric,YES,0,
agent_advances,access_fee_collected,numeric,numeric,YES,0,
agent_advances,access_fee_status,text,text,YES,'unpaid'::text,
agent_advances,monthly_rate,numeric,numeric,NO,0.33,
agent_collection_streaks,id,uuid,uuid,NO,gen_random_uuid(),
agent_collection_streaks,agent_id,uuid,uuid,NO,,
agent_collection_streaks,current_streak,integer,int4,YES,0,
agent_collection_streaks,longest_streak,integer,int4,YES,0,
agent_collection_streaks,last_collection_date,date,date,YES,,
agent_collection_streaks,streak_multiplier,numeric,numeric,YES,1.0,
agent_collection_streaks,total_badges,integer,int4,YES,0,
agent_collection_streaks,badges,jsonb,jsonb,YES,'[]'::jsonb,
agent_collection_streaks,updated_at,timestamp with time zone,timestamptz,YES,now(),
agent_collections,id,uuid,uuid,NO,gen_random_uuid(),
agent_collections,agent_id,uuid,uuid,NO,,
agent_collections,tenant_id,uuid,uuid,NO,,
agent_collections,token_id,uuid,uuid,YES,,
agent_collections,amount,numeric,numeric,NO,,
agent_collections,payment_method,USER-DEFINED,collection_payment_method,NO,,
agent_collections,float_before,numeric,numeric,NO,0,
agent_collections,float_after,numeric,numeric,NO,0,
agent_collections,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_collections,visit_id,uuid,uuid,YES,,
agent_collections,momo_provider,text,text,YES,,
agent_collections,momo_phone,text,text,YES,,
agent_collections,momo_payer_name,text,text,YES,,
agent_collections,momo_transaction_id,text,text,YES,,
agent_collections,tracking_id,text,text,YES,,
agent_collections,location_name,text,text,YES,,
agent_collections,sms_sent_agent,boolean,bool,YES,false,
agent_collections,sms_sent_tenant,boolean,bool,YES,false,
agent_collections,notes,text,text,YES,,
agent_commission_payouts,id,uuid,uuid,NO,gen_random_uuid(),
agent_commission_payouts,agent_id,uuid,uuid,NO,,
agent_commission_payouts,amount,numeric,numeric,NO,,
agent_commission_payouts,mobile_money_number,text,text,NO,,
agent_commission_payouts,mobile_money_provider,text,text,NO,,
agent_commission_payouts,status,text,text,NO,'pending'::text,
agent_commission_payouts,transaction_id,text,text,YES,,
agent_commission_payouts,rejection_reason,text,text,YES,,
agent_commission_payouts,requested_at,timestamp with time zone,timestamptz,NO,now(),
agent_commission_payouts,processed_at,timestamp with time zone,timestamptz,YES,,
agent_commission_payouts,processed_by,uuid,uuid,YES,,
agent_commission_payouts,created_at,timestamp with time zone,timestamptz,NO,now(),
agent_commission_payouts,updated_at,timestamp with time zone,timestamptz,NO,now(),
agent_delivery_confirmations,id,uuid,uuid,NO,gen_random_uuid(),
agent_delivery_confirmations,disbursement_id,uuid,uuid,NO,,
agent_delivery_confirmations,agent_id,uuid,uuid,NO,,
