id,advance_id,date,opening_balance,interest_accrued,amount_deducted,closing_balance,deduction_status,created_at
880900e6-1efa-461c-ba7e-f15ce65a29f5,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-09,1500000,14327,1000,1513327,partial,2026-04-09 04:00:03.186665+00
f826ff3c-bb9d-4ebf-ba26-cbf38bea9836,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-09,1500000,14327,0,1514327,none,2026-04-09 04:00:03.330705+00
74c80f96-684b-4eb0-90a8-910285c62575,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-10,1513327,14454,0,1527781,none,2026-04-10 04:00:03.564896+00
03164d15-3fee-470c-a957-43346070b2dd,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-10,1514327,14464,0,1528791,none,2026-04-10 04:00:03.764819+00
72ee416f-8f25-4840-8a67-cb722fdf7e16,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-11,1527781,14592,0,1542373,none,2026-04-11 04:00:02.49911+00
053f28a2-faa5-4cd3-a6a2-95c8d18eab5c,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-11,1528791,14602,0,1543393,none,2026-04-11 04:00:02.614824+00
b3923b05-aa6e-4998-9f14-0b19f0f8fbd2,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-12,1542373,14732,0,1557105,none,2026-04-12 04:00:03.242138+00
610b5c8c-e7fb-4617-acf6-f0656b0d0af2,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-12,1543393,14741,0,1558134,none,2026-04-12 04:00:03.368032+00
463a148d-faf1-4120-81fd-58bfcfe45101,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-13,1557105,14872,0,1571977,none,2026-04-13 04:00:02.71193+00
de469d12-d7bb-4f7b-95b1-43dab2961211,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-13,1558134,14882,0,1573016,none,2026-04-13 04:00:02.879665+00
481680f6-35be-4596-b51b-bde8b1ff8500,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-14,1571977,15014,0,1586991,none,2026-04-14 04:00:03.329738+00
40353502-7396-4d70-be77-fc1e7252e313,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-14,1573016,15024,0,1588040,none,2026-04-14 04:00:03.440467+00
a874ae6d-698f-4bc4-8f44-ebfc9597b61a,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-15,1586991,15158,50000,1552149,partial,2026-04-15 04:00:03.195975+00
8bad26ab-732b-46ea-a593-bc88b1e473c3,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-15,1588040,15168,50000,1553208,partial,2026-04-15 04:00:03.3284+00
18511a08-1a4e-4af0-838d-5e6bda196f62,647e7d67-11e8-4d19-864c-ca2199b68a8b,2026-04-15,750000,7163,16000,741163,partial,2026-04-15 04:00:03.465031+00
