id,created_at,transaction_date,amount,direction,category,description,reference_id,user_id,linked_party,source_table,source_id,running_balance,account,transaction_group_id,ledger_scope,currency,classification,idempotency_key
d46d24ea-98e7-43ba-aa6e-e40fa6d9be43,2026-03-26 14:32:30.35172+00,2026-03-26 14:32:30.35172+00,120000,cash_in,wallet_deposit,Wallet deposit,,85f547d1-d279-4ca0-852a-2e8d35b42fba,,wallet_deposits,67eacc3a-7dd8-4f15-a567-4ee8af13015c,95718506.00,,f0aee159-bbf5-4045-8b28-4b10b82a9a43,wallet,UGX,production,
35f23f94-d80d-46b3-ad6c-412bf39aca11,2026-02-11 16:23:26.650636+00,2026-02-11 16:23:26.650636+00,500,cash_out,wallet_transfer,Transfer to Bugaiga Gloria,,539912e9-27b4-4256-b579-33b44299acc3,Recipient,wallet_transactions,76e4042f-2a86-4090-818f-90483c8ead85,-13500,,2e2af36a-da55-43b3-a960-effdcd7f9582,wallet,UGX,production,
9d8d3f25-4110-40b6-9fbe-252bbe897cc0,2026-04-10 05:50:43.870356+00,2026-04-10 05:50:43.870356+00,77128,cash_in,system_balance_correction,Zeroing orphaned wallet balance; no ledger support (legacy trigger drift). User: Ssenyondo Sharif,,7022294f-a7cf-40c3-b6b5-67f56335f14a,,wallets,,86342902.00,,14a58272-d4a3-44a6-9d7e-456aa29634d6,wallet,UGX,production,
13047b36-1a8d-43a4-96d8-12c47c88132d,2026-02-11 16:23:26.650636+00,2026-02-11 16:23:26.650636+00,500,cash_in,wallet_transfer,Transfer to Bugaiga Gloria,,77923e32-5548-4a1c-8638-93293db899de,Sender,wallet_transactions,76e4042f-2a86-4090-818f-90483c8ead85,-13000,,1b58aa56-40bf-4025-8d73-7d559562db75,wallet,UGX,production,
f7cfd4e7-bcfb-4909-9466-a7ddddcb3b3a,2026-02-11 16:24:51.160308+00,2026-02-11 16:24:51.160308+00,500,cash_out,wallet_transfer,Transfer to Bugaiga Gloria,,cbeeb403-e56d-4716-85cd-72f6259ffb41,Recipient,wallet_transactions,eaefad91-23bd-4e67-848e-36d40fd402c9,-15500,,a891c4ee-072e-42a7-8773-1eb7b71709e3,wallet,UGX,production,
2761bfbc-0d7c-4319-98ea-b09cf2f26f40,2026-02-11 16:24:51.160308+00,2026-02-11 16:24:51.160308+00,500,cash_in,wallet_transfer,Transfer to Bugaiga Gloria,,77923e32-5548-4a1c-8638-93293db899de,Sender,wallet_transactions,eaefad91-23bd-4e67-848e-36d40fd402c9,-15000,,e4c2f070-a888-4d10-9f60-d54c6dbc73e4,wallet,UGX,production,
91783371-1bdd-40c0-8567-1c242d6ffa9b,2026-02-11 16:27:40.269048+00,2026-02-11 16:27:40.269048+00,500,cash_out,wallet_transfer,Transfer to Bugaiga Gloria,,2fea2cad-c742-4d44-b73d-ddbbffe80490,Recipient,wallet_transactions,dc9f73ca-ff37-4cdc-b401-e2b679e91590,-19000,,916c6167-eaf9-4662-ac02-022972727fc2,wallet,UGX,production,
3985b659-2d6d-4dba-bc9c-205fc905d0ab,2026-04-09 14:42:02.496228+00,2026-04-09 14:42:02.496228+00,2000,cash_in,system_balance_correction,,,70f13a32-953a-40e9-9322-0fafdba15e76,,system,,86287774.00,,7a7c769f-3f82-4c54-b0e6-c91f53f08f30,wallet,UGX,production,
189f727f-4a95-4d6b-8640-61ea3255e308,2026-04-09 14:42:02.496228+00,2026-04-09 14:42:02.496228+00,2000,cash_out,system_balance_correction,,,,,system,,86283774.00,,7a7c769f-3f82-4c54-b0e6-c91f53f08f30,wallet,UGX,production,
7185a818-e149-4b47-a540-07777572e09d,2026-04-09 14:42:02.496228+00,2026-04-09 14:42:02.496228+00,15000,cash_in,system_balance_correction,,,d1ef6301-13b8-4a38-8282-ebda9ed9c1fc,,system,,86300774.00,,da579e2a-0f44-466b-8a24-6cb43c8c78c2,wallet,UGX,production,
