id,requester_id,recipient_id,amount,description,status,created_at,responded_at
0af1529a-7ccc-49d6-b3dc-df432f30d121,675d70c6-2f67-492a-ac29-0b11d57b52ca,f1d00886-594a-4649-b063-4a493763ef2c,3000,Bills ,pending,2026-01-26 10:22:17.417871+00,
60622101-4ed6-44eb-b7d1-8045d793edf6,9925a1e1-160f-4070-8d51-0d856b6bbf58,8211b5ae-20ec-4014-aea5-514dd8403fde,6000000,Capital ,pending,2026-02-07 08:15:57.417133+00,
9882b1cb-2de4-4341-b934-76a077734d10,64f25e03-09fc-4280-823b-711d8a07e912,972f4990-1c4e-4c96-a220-9c9463f58dbf,250000,For my rent,pending,2026-02-08 06:02:54.195286+00,
b6a616d9-b21b-4a7c-bbbd-0e30ac7830fe,392dae1d-9ae1-4b34-b2ce-38d95a2e6c30,c1e69772-39fb-490a-b135-6162f285041e,1000,Money request from bgx,pending,2026-02-09 05:08:57.388144+00,
32c607d8-77c0-4c4c-a8c0-dfcc1013125f,c8fa49e5-b3a7-41c6-a100-d5d4f83b12f9,9741e327-2d3f-44ef-a663-afc5ba7b0755,2000,Family,pending,2026-02-09 21:15:05.92327+00,
e193331f-2ba4-4077-882d-5a5de4f847b3,9741e327-2d3f-44ef-a663-afc5ba7b0755,c8fa49e5-b3a7-41c6-a100-d5d4f83b12f9,2000,Money request from calvinobama,pending,2026-02-09 21:19:17.275823+00,
22302918-f579-4081-8cdc-52d5fbdd4fe6,9741e327-2d3f-44ef-a663-afc5ba7b0755,c8fa49e5-b3a7-41c6-a100-d5d4f83b12f9,500,Money request from calvinobama,pending,2026-02-09 21:20:39.194423+00,
723c6e20-c94d-4834-8c79-a7105bd70827,c8fa49e5-b3a7-41c6-a100-d5d4f83b12f9,9741e327-2d3f-44ef-a663-afc5ba7b0755,500,Money request from BENDICT MUGERA,pending,2026-02-09 21:22:58.080834+00,
ce8f7fb3-dd11-4dc6-8b25-ee7e793e57c5,34090d5a-292e-44de-b39f-4ce36a0fed51,badf8d38-3c74-4263-b220-37aa06a129ed,1000,Just ,pending,2026-02-09 21:36:40.611961+00,
a144bbcd-a125-4511-b7cd-5fc43f36519a,103e8463-b2aa-4d17-b76c-bbe050c094b3,9741e327-2d3f-44ef-a663-afc5ba7b0755,1000,Money request from obama sbani,pending,2026-02-09 22:19:28.498964+00,
525541ce-3d5b-4319-aea5-ab00f672e8d8,9741e327-2d3f-44ef-a663-afc5ba7b0755,103e8463-b2aa-4d17-b76c-bbe050c094b3,2000,Money request from calvinobama,pending,2026-02-09 22:22:35.131829+00,
61dd835c-9560-4811-8428-4ddb393a969f,9741e327-2d3f-44ef-a663-afc5ba7b0755,c8fa49e5-b3a7-41c6-a100-d5d4f83b12f9,1000,Money request from calvinobama,pending,2026-02-09 22:26:25.475152+00,
b15f4084-ee81-4a4e-b4b5-5be56b032cdc,3a36d772-9374-4a8e-8a01-a9ab90d4ab1e,958c702d-a768-492e-a1e1-5a82cc09367e,500,Fee2,pending,2026-02-10 14:17:06.706406+00,
05402139-6b7f-43ad-88d2-cc9dcf1e81d4,f58860b7-658f-4f19-b9f6-49d7ade2bdab,5380fe6d-6a05-4186-aa1a-4a276f4be0ff,500,Airtime ,pending,2026-02-10 17:25:29.837179+00,
84b70e40-29de-4fc1-bfc0-c8c6e21d96fa,e19840bd-96bc-4c86-816f-cb9763682f64,77923e32-5548-4a1c-8638-93293db899de,10000,Money request from boss,pending,2026-02-11 16:09:56.058851+00,
f59ab8a6-d254-47b4-a751-53cd9beddaec,e11aa03d-7183-42b4-8577-51a8c1e315c0,ccfda463-cfb5-41d7-9869-549d6d5522f9,2000,Food ,pending,2026-02-11 20:46:01.864265+00,
421b8509-de00-4c4d-973b-c133dd0661db,04757102-0317-4eca-bfe5-64733698c505,1d1fd989-1afe-4782-b56b-f08d52711c78,500000,I have liked this,pending,2026-02-16 20:38:25.447745+00,
17c8312f-a59f-4fad-ab8d-e249b1555c64,04757102-0317-4eca-bfe5-64733698c505,7e201db3-d770-44f1-87db-f236febb5678,5000,I have liked this ,pending,2026-02-16 20:39:40.830608+00,
6e94b06d-d3e8-4ccd-bf91-bf535cae285a,38721a35-986f-4c36-b8d9-989bd7f7d964,decee092-7c90-4503-bb2c-aed64057140b,80500,Rent,pending,2026-02-17 15:17:32.959763+00,
9f053027-9b24-412e-8454-b9096f3ed821,0e2da1ff-5425-4b74-82a1-642bdfc63be6,decee092-7c90-4503-bb2c-aed64057140b,73000,Confirming your withdar,pending,2026-02-17 19:54:30.346657+00,
a7d85a1e-8960-4ac9-a63f-e6379154bc3b,0e2da1ff-5425-4b74-82a1-642bdfc63be6,efeb913a-90ed-4211-b64d-6193ab5af6de,14000,Confirming your withdraw.,pending,2026-02-17 19:57:08.307125+00,
77f0ea64-1faa-4921-be6d-42db3a2074fd,decee092-7c90-4503-bb2c-aed64057140b,3a36d772-9374-4a8e-8a01-a9ab90d4ab1e,10000,Money request from Nze Muzamiru ,pending,2026-02-18 08:50:33.968532+00,
4cf3ae14-daa5-4e6f-b6c0-8320269e326b,05a34d99-51df-4c9c-986f-ba4f570d222e,3f3d72b5-99ee-4e0d-b265-cb7f55db354c,30000,Rent,pending,2026-02-22 04:05:44.037286+00,
dc4fb566-2ab9-4cd9-9dad-e7e999527772,e023af27-25be-4f0a-8c57-88f6c8ecba44,0e2da1ff-5425-4b74-82a1-642bdfc63be6,11000,Withdraw ,pending,2026-02-23 05:00:32.890935+00,
9c14f01f-dad7-4c38-8307-78b029a7c752,0e2da1ff-5425-4b74-82a1-642bdfc63be6,e023af27-25be-4f0a-8c57-88f6c8ecba44,60000,Joelblits ,pending,2026-02-23 05:06:59.095337+00,
28712b3f-5bfe-407f-bbe9-09f450bdcca7,e023af27-25be-4f0a-8c57-88f6c8ecba44,0e2da1ff-5425-4b74-82a1-642bdfc63be6,11000,We need to withdraw ,pending,2026-02-23 05:10:41.413226+00,
73d6869d-a331-4b9f-925e-30438c724d08,e023af27-25be-4f0a-8c57-88f6c8ecba44,0e2da1ff-5425-4b74-82a1-642bdfc63be6,11000,Money request from Joelblits ,pending,2026-02-23 05:14:05.247328+00,
32f8317b-ea60-4d9a-8c63-e0c0e73bd437,3569dbbb-f5cd-48c0-adfe-278a96ebb4b0,eff77ba2-d6f9-4829-840c-7dff3eee825f,50000,Health reasons,pending,2026-02-23 12:05:39.43579+00,
