id,tenant_id,rent_request_id,service_type,charge_amount,frequency,next_charge_date,start_date,end_date,total_charges_due,total_charged,accumulated_debt,charges_completed,charges_remaining,status,created_at,updated_at,agent_id,agent_charged_amount,agent_charge_count,charge_agent_wallet,tenant_failed_at,consecutive_failures
fc1ebce8-d48e-4e47-bc90-d62773b6916e,3b293a8d-6046-429b-8295-0eb121e88577,3fae669e-1336-4cfd-a401-aa49f88d238a,rent_facilitation,13601,daily,2026-04-14,2026-02-24,2026-04-25,816005,68005,564843,48,12,active,2026-02-24 10:09:09.46559+00,2026-04-14 06:00:02.137752+00,e4f07815-7991-422f-946f-7f351b38e954,40803,3,f,2026-04-14 06:00:01.79+00,0
2f2a2888-7f8c-4b13-8fa5-d03fc1b964e5,dbc12143-44ad-4546-9fc9-d35b696df3a4,fae5a234-961d-4f89-b5d4-bce71ebc232f,rent_facilitation,4884,daily,2026-04-14,2026-02-24,2026-04-25,293024,58608,175824,48,12,active,2026-02-24 10:09:09.46559+00,2026-04-14 06:00:02.38927+00,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,14652,3,f,,0
31737fa9-cdd6-4815-82f3-fff6584cb7ab,7f5c1d63-75c4-4b29-9f60-95f357f17f1e,8e355f65-434d-4794-8db6-21c91e40685d,rent_facilitation,13967,daily,2026-04-07,2026-03-09,2026-04-08,419000,55868,363142,30,0,completed,2026-03-09 06:23:23.438089+00,2026-04-09 06:00:03.347506+00,f88bec6b-01ea-4c68-822a-96b0d79d93f6,0,0,f,,0
ecde8d61-e681-46f7-ac92-727be57e9a7c,13466296-5806-492b-8324-155c5ff2db24,2849983b-8576-49bb-b4e4-7c83d90815cc,rent_facilitation,4767,daily,2026-03-12,2026-03-11,2026-04-10,143010,0,0,0,30,cancelled,2026-03-11 14:41:57.338891+00,2026-03-11 14:56:59.866609+00,d06530e1-8458-4dd7-a455-5ad3e9c40e84,0,0,f,,0
1436158d-e202-44df-a2ae-82c2b3c53fb4,13466296-5806-492b-8324-155c5ff2db24,2849983b-8576-49bb-b4e4-7c83d90815cc,rent_facilitation,4767,daily,2026-03-12,2026-03-11,2026-04-10,143010,0,0,0,30,cancelled,2026-03-11 14:52:06.519909+00,2026-03-11 14:56:59.866609+00,d06530e1-8458-4dd7-a455-5ad3e9c40e84,0,0,f,,0
b875456b-8b21-4ffe-a681-a8d4e6e08153,13466296-5806-492b-8324-155c5ff2db24,2849983b-8576-49bb-b4e4-7c83d90815cc,rent_facilitation,4767,daily,2026-04-10,2026-03-12,2026-04-11,143010,0,143010,30,0,completed,2026-03-12 09:14:50.666671+00,2026-04-12 06:00:03.046132+00,d06530e1-8458-4dd7-a455-5ad3e9c40e84,0,0,f,,0
7b02d614-6ff2-4098-95d4-d963fa30cfe5,ab1b190e-4fb5-499c-96c7-edae09bac030,08907aab-dad3-4bb5-a277-a228dfcbd300,rent_facilitation,9200,daily,2026-04-10,2026-03-11,2026-04-10,276000,0,276000,30,0,completed,2026-03-11 13:17:05.615392+00,2026-04-12 06:00:03.850448+00,37671b98-e914-4fbf-9f59-c38844b391c4,0,0,f,,0
28bf17e4-ed2a-4b16-a2a3-abd93bf28f4f,7c0bd264-49d4-4614-a617-0fe8ebf9d005,532be737-2ed9-4a6f-8888-39e4dae41439,rent_facilitation,4884,daily,2026-04-14,2026-02-24,2026-04-25,293024,48840,185592,48,12,active,2026-02-24 10:09:09.46559+00,2026-04-14 06:00:02.806591+00,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,9156,2,f,2026-04-14 06:00:01.79+00,0
56f5546a-d8a9-46b2-bf99-02836059057b,611ce374-3ba0-4e95-9a85-e2014820882b,8f983c96-a6cb-4bbc-96bb-1b28848193da,rent_facilitation,4884,daily,2026-04-14,2026-02-24,2026-04-25,293024,48840,161172,48,12,active,2026-02-24 10:09:09.46559+00,2026-04-14 06:00:03.008389+00,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,24304,5,f,,0
7c6f2034-bbb9-4de4-9010-a88af9a6295a,b3f97805-92ec-4d85-9e3c-af0dcccd35b3,b87f5dad-cb27-433f-89bc-46f5be3690f2,rent_facilitation,4884,daily,2026-04-14,2026-02-24,2026-04-25,293024,48840,185592,48,12,active,2026-02-24 10:09:09.46559+00,2026-04-14 06:00:03.444271+00,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,9768,2,f,2026-04-14 06:00:01.79+00,0
f8fd1142-b572-47cc-b0bc-4cb6ef2342c6,78803d99-76f2-4f8b-a688-713bb4e705df,b3da5b64-a531-4875-8a86-13a4cb3b3727,rent_facilitation,56193,daily,2026-04-14,2026-03-17,2026-04-16,1685800,0,1517211,27,3,active,2026-03-17 13:43:59.783996+00,2026-04-14 06:00:03.71589+00,e4f07815-7991-422f-946f-7f351b38e954,0,0,f,2026-04-14 06:00:01.79+00,0
