id,user_id,activity_type,description,metadata,performed_by,created_at
f125614e-f6ab-4be5-ac53-7c64e4bf5b45,155d6e10-e0b4-44f3-92ed-019742c0ac08,login,Logged in with password,{},,2026-01-24 19:24:17.21427+00
7f5d56f7-e299-4c62-b177-81d9935d2f08,675d70c6-2f67-492a-ac29-0b11d57b52ca,login,Logged in with password,{},,2026-01-25 22:34:57.057481+00
7a6d01d1-59b2-484e-8e0a-23beca675274,99890a2e-b842-4d44-8516-e2eafe0711ff,login,Logged in with password,{},,2026-01-26 12:43:20.57801+00
de1d1817-c384-4a26-b505-dae4cd908aa7,e4f07815-7991-422f-946f-7f351b38e954,login,Logged in with password,{},,2026-01-26 13:04:21.811906+00
c2722307-1343-469f-9903-de20a6ee3b04,0989f43a-6ff3-465f-a11a-c13cc1f6f1ab,login,Logged in with password,{},,2026-01-27 08:21:51.478027+00
7ae3cd18-dc29-4b08-8fd0-0afae501df2d,112b4be2-c82a-42be-8517-b4a47266959c,login,Logged in with password,{},,2026-01-27 21:48:11.730562+00
c82ff9ac-4eea-47e1-9704-5ec6202af0f3,112b4be2-c82a-42be-8517-b4a47266959c,login,Logged in with password,{},,2026-01-28 10:25:36.420064+00
f92591a7-3d82-45fe-a4f5-ab1dfc7ea2b9,99890a2e-b842-4d44-8516-e2eafe0711ff,logout,Logged out,{},,2026-01-28 12:46:19.114475+00
ce997424-7317-40ba-94e5-cf9a9a54bb32,7e506ac9-6c46-4fdf-b888-c972bad7350f,login,Logged in with password,{},,2026-01-28 12:47:58.279761+00
bf76149c-be47-44fe-8a93-e418b024a04e,7e506ac9-6c46-4fdf-b888-c972bad7350f,logout,Logged out,{},,2026-01-28 12:55:35.214673+00
ee15e7cc-225c-4b50-9939-d3ae4bf103df,99890a2e-b842-4d44-8516-e2eafe0711ff,login,Logged in with password,{},,2026-01-28 12:55:47.906648+00
ebf370e0-2a43-4317-b8ac-a22deae75c82,7e506ac9-6c46-4fdf-b888-c972bad7350f,login,Logged in with password,{},,2026-01-28 13:12:52.96463+00
05f42b17-fd00-4d56-9fc5-357738f87695,7f5cb42d-395b-4e98-9e85-7645b8e058d8,login,Logged in with password,{},,2026-01-28 13:17:04.819899+00
d72314e6-c4e3-465d-9959-7d7319e5a524,e4f07815-7991-422f-946f-7f351b38e954,login,Logged in with password,{},,2026-01-29 07:02:46.901667+00
f13b70e6-41fe-4f09-8510-21895821b98e,0c953702-fa88-4bb0-8faf-656afe8e0736,logout,Logged out,{},,2026-01-30 06:35:31.907479+00
658282a3-9df4-400e-be1a-3eddfbd834c3,0c953702-fa88-4bb0-8faf-656afe8e0736,login,Logged in with password,{},,2026-01-30 06:42:28.214139+00
a4ffad59-0443-4874-ab7c-2137f24a9d8c,e4f07815-7991-422f-946f-7f351b38e954,logout,Logged out,{},,2026-01-30 11:44:20.611272+00
55c7efa7-9d42-4413-b618-bbe4a1f91453,e4f07815-7991-422f-946f-7f351b38e954,login,Logged in with password,{},,2026-01-30 11:45:13.733802+00
bb13a8e8-52c5-4b6c-a3d1-1e3ab76ab3c8,e4f07815-7991-422f-946f-7f351b38e954,login,Logged in with password,{},,2026-01-30 12:04:28.069387+00
