user_id,ai_id,total_rent_facilitated,total_rent_requests,funded_requests,risk_score,risk_level,total_on_time_payments,total_missed_payments,on_time_payment_rate,wallet_balance,estimated_borrowing_limit,referral_count,member_since,last_refreshed_at
a0c981c4-2882-43b2-9111-8febc25321ae,WEL-A0C981,0,0,0,50,medium,0,0,0,0,0.00,4,2026-02-10 16:24:20.323365+00,2026-03-18 03:00:00.015442+00
c9f1aa6a-f907-4ca4-ba45-4033acc7f0c5,WEL-C9F1AA,100000.00,1,0,50,medium,0,0,0,0,15000.0000,0,2026-03-17 11:22:44.403582+00,2026-03-18 03:00:00.015442+00
6b55c92c-3b6b-4b3c-8dc9-f44df0f7887b,WEL-6B55C9,0,0,0,50,medium,0,0,0,0,0.00,0,2026-03-12 12:12:26.767268+00,2026-03-18 03:00:00.015442+00
15fbbc45-0653-4e17-8d3e-23c5a583fa32,WEL-15FBBC,0,0,0,50,medium,0,0,0,52000,0.00,411,2026-02-08 15:10:47.512679+00,2026-03-18 03:00:00.015442+00
e3cf4d3a-d021-49e4-b815-7e1938166eeb,WEL-E3CF4D,0,0,0,50,medium,0,0,0,0,0.00,0,2026-03-11 10:06:13.869674+00,2026-03-18 03:00:00.015442+00
56c1aa64-f999-43e6-bca0-0248009157f2,WEL-56C1AA,0,0,0,50,medium,0,0,0,0,0.00,0,2026-03-10 18:19:46.404821+00,2026-03-18 03:00:00.015442+00
faf83116-c0e6-4f87-b48c-10b9ffcfe8a4,WEL-FAF831,0,0,0,50,medium,0,0,0,0,0.00,5,2026-02-09 20:27:31.117262+00,2026-03-18 03:00:00.015442+00
fcadf5a2-ad55-4163-8a39-b8596647064f,WEL-FCADF5,0,0,0,50,medium,0,0,0,0,0.00,0,2026-03-15 05:44:27.49076+00,2026-03-18 03:00:00.015442+00
decee092-7c90-4503-bb2c-aed64057140b,WEL-DECEE0,0,0,0,50,medium,0,0,0,9500,0.00,27,2026-02-07 19:48:57.267576+00,2026-03-18 03:00:00.015442+00
7f5c1d63-75c4-4b29-9f60-95f357f17f1e,WEL-7F5C1D,300000.00,1,1,50,medium,0,0,0,41901,45000.0000,0,2026-03-06 07:47:17.106669+00,2026-03-18 03:00:00.015442+00
d55ab241-158e-4e05-b7d7-efb8a4f41900,WEL-D55AB2,0,0,0,50,medium,0,0,0,7000,0.00,7,2026-02-17 19:20:25.756414+00,2026-03-18 03:00:00.015442+00
13b4fbc8-adfd-4242-91cd-7b71eb055381,WEL-13B4FB,0,0,0,50,medium,0,0,0,0,0.00,0,2026-03-05 16:06:14.702227+00,2026-03-18 03:00:00.015442+00
ffe40b18-7987-46a7-b147-c3adfaf4227a,WEL-FFE40B,220000.00,1,0,50,medium,0,0,0,0,33000.0000,0,2026-02-10 08:34:56.860161+00,2026-03-18 03:00:00.015442+00
01a6fcd5-f0c2-4613-9a0b-06186993cd81,WEL-01A6FC,0,0,0,50,medium,0,0,0,0,0.00,0,2026-02-19 16:14:31.267687+00,2026-03-18 03:00:00.015442+00
4f32128c-8eb9-42e1-8cc4-37ac53605e93,WEL-4F3212,0,0,0,50,medium,0,0,0,0,0.00,0,2026-02-18 15:10:15.542973+00,2026-03-18 03:00:00.015442+00
c9cc0c04-e493-474b-8410-c60d727322a5,WEL-C9CC0C,0,0,0,50,medium,0,0,0,18000,0.00,90,2026-02-07 19:05:15.130935+00,2026-03-18 03:00:00.015442+00
2e466355-ac08-420b-8052-8ea2fbc5c534,WEL-2E4663,100000.00,1,0,50,medium,0,0,0,0,15000.0000,0,2026-03-09 10:55:00.150854+00,2026-03-18 03:00:00.015442+00
475c6ccb-166c-41cd-b2a8-386c99777138,WEL-475C6C,0,0,0,50,standard,0,0,0,0,0.00,0,2026-03-09 10:50:06.709397+00,2026-03-18 03:00:00.015442+00
b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,WEL-B4D7C3,0,0,0,50,medium,0,0,0,17993740,0.00,15,2026-03-03 05:26:29.369783+00,2026-03-18 03:00:00.015442+00
03570276-ac02-4fee-a578-89976b064363,WEL-035702,0,0,0,50,medium,0,0,0,0,0.00,0,2026-02-04 03:44:47.110247+00,2026-03-18 03:00:00.015442+00
0b109aad-212a-4fd0-ab03-3d7aee9cf397,WEL-0B109A,0,0,0,50,medium,0,0,0,30004,0.00,9,2026-03-02 07:17:19.252863+00,2026-03-18 03:00:00.015442+00
e4f07815-7991-422f-946f-7f351b38e954,WEL-E4F078,0,0,0,50,standard,0,0,0,10000,0.00,97,2026-01-19 10:53:03.001149+00,2026-03-18 03:00:00.015442+00
