id,advance_id,date,opening_balance,interest_accrued,amount_deducted,closing_balance,deduction_status,created_at
2887dd1e-f922-401b-ad5d-bc69221111cc,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-04,750000,7163,0,757163,none,2026-03-04 05:00:05.684365+00
3676fd23-3983-47fc-b838-42ae5048ef41,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-05,757163,7232,0,764395,none,2026-03-05 05:00:03.876858+00
f9e3c2da-7c7b-4df2-8aca-38a440e1724a,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-06,764395,7301,0,771696,none,2026-03-06 05:00:04.611546+00
6933d233-610d-40d7-88bd-7f66d49cdd56,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-07,771696,7371,0,779067,none,2026-03-07 05:00:05.978477+00
c4a61efd-0bb2-44f8-ba5c-7440a6c7c39b,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-08,779067,7441,0,786508,none,2026-03-08 05:00:01.838047+00
94de8977-c0a2-49c5-8e97-a17e1a40a6fc,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-09,786508,7512,0,794020,none,2026-03-09 05:00:06.842817+00
7d78fd94-02d9-462f-98ab-9b29f4105b67,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-10,794020,7584,0,801604,none,2026-03-10 05:00:07.823936+00
3277bf5c-430d-489e-9075-7cd1490091c2,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-11,801604,7656,0,809260,none,2026-03-11 05:00:02.341755+00
a886eaa7-9f15-46ec-b002-4c648f5aac73,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-12,809260,7729,0,816989,none,2026-03-12 05:00:01.717857+00
8042c551-5a1c-4f43-8e68-828d2f9a0b48,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-13,816989,7803,0,824792,none,2026-03-13 05:00:01.745646+00
9e60f856-b7b4-4cbd-b320-2b9ad88cda14,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-14,824792,7878,0,832670,none,2026-03-14 05:00:01.66603+00
6fe64f00-dc3b-44a1-8e8b-749e8f6a442f,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-15,832670,7953,0,840623,none,2026-03-15 05:00:01.977238+00
b697097e-8b6c-4f42-a3cc-deb57dfc4605,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-16,840623,8029,0,848652,none,2026-03-16 05:00:04.798606+00
adf1e592-b0da-4364-84c1-f18001319f1a,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-17,848652,8106,0,856758,none,2026-03-17 05:00:01.70126+00
57850f1b-090d-42f0-9ae2-05dc0f2c149c,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-19,856758,8183,0,864941,none,2026-03-19 05:00:02.747058+00
ae87174f-ef40-4be4-aebd-93c06a8dac2e,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-20,864941,8261,0,873202,none,2026-03-20 05:00:02.968974+00
726678fb-5f84-459b-bb34-f89f54f34316,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-21,873202,8340,0,881542,none,2026-03-21 05:00:01.930219+00
08a3f76e-b328-46be-9ff5-f7e17705f3b4,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-22,881542,8420,0,889962,none,2026-03-22 05:00:02.640317+00
8d85cec2-c5f9-4d84-a7f4-164f4a816a5b,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-23,889962,8500,0,898462,none,2026-03-23 05:00:02.266949+00
d152c071-94f3-42b0-a529-c16f3a320e5d,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-24,898462,8581,0,907043,none,2026-03-24 05:00:01.778705+00
feb780c1-06ba-4c07-8795-3984354f3779,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-25,907043,8663,0,915706,none,2026-03-25 05:00:01.836143+00
39d69f17-1717-4578-a6e1-77c4233838f3,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-26,915706,8746,0,924452,none,2026-03-26 05:00:01.540464+00
d2fc7ede-7fdd-4b3b-87fe-e4ae286bf604,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-27,924452,8830,0,933282,none,2026-03-27 05:00:02.336242+00
eff4cdfc-5544-4ae7-9632-700da0f0696e,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-28,933282,8914,0,942196,none,2026-03-28 05:00:01.080918+00
4f98904e-fed7-4c66-953c-3532bd4f8673,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-29,942196,8999,0,951195,none,2026-03-29 05:00:00.655973+00
ff1e054e-2d67-4b40-91f0-443a43ffcebb,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-30,951195,9085,0,960280,none,2026-03-30 05:00:00.479144+00
7e384ec5-81e9-4b53-b9c7-a16939b54568,73282597-6485-4e38-b140-fadbd31cfc9d,2026-03-31,960280,9172,0,969452,none,2026-03-31 05:00:01.234556+00
8b60fb0f-5c30-4754-bec7-5559c54c4d2e,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-01,969452,9260,0,978712,none,2026-04-01 05:00:01.383868+00
3af71c51-00fc-4806-ba21-411b6569cbc3,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-02,978712,9348,0,988060,none,2026-04-02 05:00:02.417808+00
4f69f693-e919-4c8d-9ad8-162b90c93879,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-03,988060,9437,0,997497,none,2026-04-03 05:00:02.128677+00
31b6f493-c08c-4c3f-8bc7-ceb6110ab0fe,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-08,997497,9527,0,1007024,none,2026-04-08 04:00:03.62479+00
d394985e-385d-4e77-8610-e8fbd9c00fd7,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-09,1007024,9618,10000,1006642,partial,2026-04-09 04:00:03.039498+00
880900e6-1efa-461c-ba7e-f15ce65a29f5,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-09,1500000,14327,1000,1513327,partial,2026-04-09 04:00:03.186665+00
f826ff3c-bb9d-4ebf-ba26-cbf38bea9836,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-09,1500000,14327,0,1514327,none,2026-04-09 04:00:03.330705+00
fbc2aeac-1ee1-46ae-b79d-3552527445a0,73282597-6485-4e38-b140-fadbd31cfc9d,2026-04-10,1006642,9615,1016257,0,full,2026-04-10 04:00:03.328088+00
74c80f96-684b-4eb0-90a8-910285c62575,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-10,1513327,14454,0,1527781,none,2026-04-10 04:00:03.564896+00
03164d15-3fee-470c-a957-43346070b2dd,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-10,1514327,14464,0,1528791,none,2026-04-10 04:00:03.764819+00
72ee416f-8f25-4840-8a67-cb722fdf7e16,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-11,1527781,14592,0,1542373,none,2026-04-11 04:00:02.49911+00
053f28a2-faa5-4cd3-a6a2-95c8d18eab5c,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-11,1528791,14602,0,1543393,none,2026-04-11 04:00:02.614824+00
1367fb83-696f-4e46-a62e-5b624a86e609,1ef34c30-efcc-4bc7-be3b-c5fc470789ff,2026-04-11,750000,7163,757163,0,full,2026-04-11 04:00:02.728445+00
b3923b05-aa6e-4998-9f14-0b19f0f8fbd2,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-12,1542373,14732,0,1557105,none,2026-04-12 04:00:03.242138+00
610b5c8c-e7fb-4617-acf6-f0656b0d0af2,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-12,1543393,14741,0,1558134,none,2026-04-12 04:00:03.368032+00
463a148d-faf1-4120-81fd-58bfcfe45101,5e1a0ab5-3769-412e-8045-20d597431ae6,2026-04-13,1557105,14872,0,1571977,none,2026-04-13 04:00:02.71193+00
de469d12-d7bb-4f7b-95b1-43dab2961211,2b36e1e4-e474-4023-9f98-c5028b4b271c,2026-04-13,1558134,14882,0,1573016,none,2026-04-13 04:00:02.879665+00
