id,agent_id,balance,total_funded,total_paid_out,created_at,updated_at
b5a85f6d-d12e-4d93-83bc-06a9f362115d,37671b98-e914-4fbf-9f59-c38844b391c4,200000,200000,0,2026-03-24 11:52:26.732331+00,2026-03-24 11:52:43.640267+00
4cec6043-57da-4b25-be76-03bddd0a4d38,99890a2e-b842-4d44-8516-e2eafe0711ff,100000,100000,0,2026-03-24 11:52:26.732331+00,2026-03-24 11:52:43.640267+00
8d8326e4-02d6-4274-86dc-cb861eed2b7e,d06530e1-8458-4dd7-a455-5ad3e9c40e84,100000,100000,0,2026-03-24 11:52:26.732331+00,2026-03-24 11:52:43.640267+00
53b731a8-2106-48d4-9934-b3867a47702a,e4f07815-7991-422f-946f-7f351b38e954,1710000,1710000,0,2026-03-24 11:52:26.732331+00,2026-03-24 11:52:43.640267+00
2e62e685-6bfc-4b3a-bc85-a4202d9d7b49,fbcebe2e-f3da-41d9-bf53-ab4dc1cc55fa,640000,640000,0,2026-03-24 11:52:26.732331+00,2026-03-24 11:52:43.640267+00
d6da550b-87d0-4761-a919-e06e70080435,299ff13b-f2a7-4e9d-9b1b-5915acbf23be,0,500000,500000,2026-03-24 11:52:26.732331+00,2026-03-24 12:19:22.451916+00
0e51d721-6cfe-474e-bd24-695632278c3d,cf561688-b3a2-4f62-b9c1-67ee7b36ff2b,200000,200000,0,2026-03-24 12:44:26.912659+00,2026-03-24 12:46:56.185+00
0dfa7a0e-d501-47e5-a8e1-32a097b7bd4d,f6fe1c27-7a98-4b88-874c-2e55d3937c82,1800000,1800000,0,2026-04-10 09:24:02.851961+00,2026-04-10 09:24:02.939706+00
adbbb789-9954-49d7-8f17-4bc779313209,04ef6aad-ade8-4dbc-ae3f-09669a836952,1000000,1000000,0,2026-04-13 08:34:55.233432+00,2026-04-13 08:34:55.325245+00
e76a0c03-d2fb-462e-896f-54cff3282b4f,e3cf4d3a-d021-49e4-b815-7e1938166eeb,10520000,10520000,0,2026-03-24 11:52:26.732331+00,2026-04-13 08:35:11.971775+00
