id,user_id,base_limit,bonus_from_ratings,bonus_from_receipts,bonus_from_rent_history,bonus_from_landlord_rent,created_at,updated_at,bonus_from_houses_listed,bonus_from_partners_onboarded,total_limit
eda9d929-0467-40ce-a1aa-7d3179f0584b,087c6107-378d-4f67-b1e2-e4692acba0c1,30000,0,0,0,0,2026-02-17 09:37:42.600559+00,2026-04-13 05:30:01.159477+00,0,0,30000
53bba394-df3e-4954-b61d-13e402fce165,1d8918cf-91fd-4eb7-bd51-61df53cd1a01,30000,0,0,0,0,2026-04-02 10:14:54.938442+00,2026-04-13 05:30:01.219361+00,0,200000,230000
0cbf2ca2-ec43-403d-9dfb-bbdfbf37159d,d6df48df-dea4-48a9-a88d-1b65c63c3c4b,30000,0,0,0,0,2026-04-01 16:03:55.572143+00,2026-04-13 05:30:01.298446+00,0,0,30000
8c378584-1111-4a65-adb5-84d3156a6483,f444af3e-ff81-4a9e-b387-a69b69967eea,30000,0,0,0,0,2026-02-25 14:58:50.82544+00,2026-04-13 05:30:01.35016+00,0,0,30000
1902a365-b392-4389-8b65-ee6602aa6ad8,71584008-e95c-4b45-ac8a-0928349bbb94,30000,0,0,0,0,2026-03-26 06:48:36.779433+00,2026-04-13 05:30:01.40075+00,0,0,30000
acdb9fbf-6d1c-4f5c-9da2-00d997918dde,8aa27555-709f-4e6f-8f42-f0a17a92a0f3,30000,0,0,0,0,2026-02-19 16:55:27.820446+00,2026-04-13 05:30:01.456941+00,0,0,30000
1fc5119e-94b2-46b8-bdf1-659454a31aa8,797126dd-d13f-4863-bc0c-3446a4b235e3,30000,0,0,0,0,2026-02-17 15:43:10.867886+00,2026-04-13 05:30:01.538012+00,0,0,30000
8d7ce60a-ea3d-4169-b3b5-98e8050dc0c1,9a749cc7-12d1-4f03-9f93-6bed4eec0259,30000,0,0,0,0,2026-02-17 14:28:46.970824+00,2026-04-13 05:30:01.595291+00,0,0,30000
17ac4521-65d0-4330-9106-68793c468225,fa1b2da3-e11f-4e1a-8a85-267b10af1f10,30000,0,0,0,0,2026-02-17 17:07:31.946142+00,2026-04-13 05:30:01.664222+00,0,0,30000
dfd12922-1674-4d4d-b92e-3a0f89fec2b1,af320ceb-c52a-4feb-a713-867290bff6fd,30000,0,0,0,0,2026-04-01 17:57:25.769691+00,2026-04-13 05:30:01.723758+00,0,200000,230000
e9266b4b-7f82-4cfb-a8d0-c29e5271a59f,386b667d-bee6-4004-ba87-d12951fac5a1,30000,0,0,0,0,2026-04-02 10:45:08.4403+00,2026-04-13 05:30:01.779752+00,0,200000,230000
1a8e6115-98ca-428e-80e3-b019e71aec7a,55ca19e1-dfa9-4621-9e20-e36d36cf30d2,30000,0,0,0,0,2026-02-17 13:33:51.954789+00,2026-04-13 05:30:01.83324+00,0,0,30000
ae5cd95e-6d61-46fe-863a-ebf9bb65065d,eae24312-9de9-4560-a73f-ad0602dcec43,30000,0,0,0,0,2026-03-26 07:31:50.689882+00,2026-04-13 05:30:01.885001+00,0,0,30000
352fc5e3-541a-4e46-8d64-6db70c3e69fb,c9cc0c04-e493-474b-8410-c60d727322a5,30000,0,0,0,0,2026-02-17 16:16:32.185653+00,2026-04-13 05:30:02.020064+00,0,0,30000
