id,stat_date,total_users,active_users_30d,new_users_today,retention_pct,referral_pct,daily_transaction_volume,users_by_role,created_at,updated_at
038b95c5-161e-494b-a309-5d8952051e60,2026-03-24,5462,917,5,16.79,94.56,1488023.00,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5406, ""tenant"": 5404, ""manager"": 18, ""employee"": 3, ""landlord"": 5405, ""supporter"": 245, ""operations"": 5, ""super_admin"": 5}",2026-03-24 00:00:00.019088+00,2026-03-24 20:00:00.020999+00
3af96ca0-1472-4dd5-a28d-ca73302cc703,2026-03-18,5439,3085,44,56.72,94.89,2044562,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5382, ""tenant"": 5381, ""manager"": 17, ""employee"": 2, ""landlord"": 5382, ""supporter"": 210, ""operations"": 4, ""super_admin"": 4}",2026-03-18 00:00:00.020867+00,2026-03-18 20:00:00.026366+00
1e4875ad-ee27-4140-831c-cf7d790acc81,2026-03-13,5337,3839,17,71.93,96.53,48534,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5312, ""tenant"": 5309, ""manager"": 16, ""employee"": 2, ""landlord"": 5308, ""supporter"": 85, ""operations"": 2, ""super_admin"": 2}",2026-03-13 08:56:01.776843+00,2026-03-13 20:00:00.021716+00
3f9b612c-ffbf-45b7-b90c-f25496ad099b,2026-03-16,5368,3042,25,56.67,96.11,2000,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5333, ""tenant"": 5331, ""manager"": 16, ""employee"": 2, ""landlord"": 5331, ""supporter"": 127, ""operations"": 3, ""super_admin"": 2}",2026-03-16 00:00:00.019516+00,2026-03-16 20:00:00.020711+00
cf1c2cbe-c82b-464a-b0a1-de6265552126,2026-03-20,5445,2237,0,41.08,94.78,135000,"{""ceo"": 2, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5389, ""tenant"": 5387, ""manager"": 17, ""employee"": 2, ""landlord"": 5388, ""supporter"": 219, ""operations"": 5, ""super_admin"": 4}",2026-03-20 00:00:00.017123+00,2026-03-20 20:00:00.01674+00
e09dc243-efea-4150-8e01-04c566f55ae8,2026-03-14,5340,3246,2,60.79,96.48,95062,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5315, ""tenant"": 5312, ""manager"": 16, ""employee"": 2, ""landlord"": 5311, ""supporter"": 91, ""operations"": 3, ""super_admin"": 2}",2026-03-14 00:00:00.021372+00,2026-03-14 20:00:00.020964+00
6fca6ce5-dab4-46c5-8adb-0eabd5da0045,2026-03-23,5457,1036,4,18.98,94.61,1172150,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5401, ""tenant"": 5399, ""manager"": 18, ""employee"": 3, ""landlord"": 5400, ""supporter"": 239, ""operations"": 5, ""super_admin"": 5}",2026-03-23 00:00:00.024193+00,2026-03-23 20:00:00.016933+00
a5be87dd-3f55-473f-887f-3dd7b3e38177,2026-03-17,5396,3055,28,56.62,95.63,3021734,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5339, ""tenant"": 5338, ""manager"": 16, ""employee"": 2, ""landlord"": 5337, ""supporter"": 162, ""operations"": 3, ""super_admin"": 2}",2026-03-17 00:00:00.020916+00,2026-03-17 20:00:00.020758+00
0c3b8dcb-c6aa-442a-ae38-d12ebbc27736,2026-03-15,5344,3048,4,57.04,96.46,1935,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5319, ""tenant"": 5316, ""manager"": 16, ""employee"": 2, ""landlord"": 5315, ""supporter"": 99, ""operations"": 3, ""super_admin"": 2}",2026-03-15 00:00:00.017644+00,2026-03-15 20:00:00.021562+00
4483181d-fe1f-49c6-bd66-c032e5f4f72a,2026-03-19,5444,2444,4,44.89,94.80,177934,"{""ceo"": 1, ""cfo"": 1, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 2, ""agent"": 5388, ""tenant"": 5386, ""manager"": 17, ""employee"": 2, ""landlord"": 5387, ""supporter"": 217, ""operations"": 5, ""super_admin"": 4}",2026-03-19 00:00:00.020465+00,2026-03-19 20:00:00.019991+00
df297f84-810c-44a5-b6df-674ff3835026,2026-03-22,5453,1129,3,20.70,94.65,0,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5397, ""tenant"": 5395, ""manager"": 18, ""employee"": 3, ""landlord"": 5396, ""supporter"": 234, ""operations"": 5, ""super_admin"": 5}",2026-03-22 00:00:00.019725+00,2026-03-22 20:00:00.021316+00
39278500-537d-4c28-b1e8-1082d2b334d8,2026-03-21,5450,1623,4,29.78,94.70,20000,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5394, ""tenant"": 5392, ""manager"": 18, ""employee"": 3, ""landlord"": 5393, ""supporter"": 228, ""operations"": 5, ""super_admin"": 5}",2026-03-21 00:00:00.020329+00,2026-03-21 20:00:00.024145+00
df59ded3-6f42-4d56-80ce-b480b1ccdca0,2026-03-25,5661,1013,199,17.89,91.43,50116896,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5607, ""tenant"": 5605, ""manager"": 18, ""employee"": 3, ""landlord"": 5604, ""supporter"": 437, ""operations"": 5, ""super_admin"": 5}",2026-03-25 00:00:00.029376+00,2026-03-25 20:00:00.021017+00
765dc567-c2bb-481f-b4e3-4033090c9528,2026-03-27,5661,946,4,16.71,91.38,240000,"{""ceo"": 2, ""cfo"": 2, ""cmo"": 1, ""coo"": 3, ""crm"": 1, ""cto"": 3, ""agent"": 5608, ""tenant"": 5606, ""manager"": 17, ""employee"": 2, ""landlord"": 5605, ""supporter"": 441, ""operations"": 4, ""super_admin"": 5}",2026-03-27 00:00:00.030369+00,2026-03-27 20:00:00.026405+00
