id,user_id,agent_id,amount,status,created_at,updated_at,approved_at,rejected_at,rejection_reason,processed_by,provider,transaction_id,transaction_date,notes,audit_flagged,auto_approved,batch_run_id
e550fbe0-1f96-4861-80bb-8c03853902ee,e4f07815-7991-422f-946f-7f351b38e954,,14000,approved,2026-04-09 10:14:37.807533+00,2026-04-09 10:18:52.742155+00,2026-04-09 10:18:52.699+00,,,e4f07815-7991-422f-946f-7f351b38e954,airtel,TID144658616198,2026-04-09 12:04:00+00,Rent repayment,f,f,
fb122369-ac5b-4aef-8f34-ab03201b37b4,652cb957-7478-49cd-a9c7-0deef4b6b0af,652cb957-7478-49cd-a9c7-0deef4b6b0af,10000,rejected,2026-01-24 15:43:19.549805+00,2026-04-02 04:23:14.028032+00,,2026-01-25 09:15:56.526+00,kindly go ahead and do it again using the MOMO CODES      ^Benja,,,,,,f,f,
09410ba8-46a2-4cad-a2bd-3e4a98aa8371,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,,10000000,approved,2026-03-10 10:08:58.408734+00,2026-03-10 10:09:31.322478+00,2026-03-10 10:09:31.289+00,,,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,mtn,TID121212221,2026-03-10 13:08:00+00,Katongole,f,f,
14473cd3-013d-43b7-be69-2b801f80ae36,9925a1e1-160f-4070-8d51-0d856b6bbf58,,500000,rejected,2026-02-07 08:19:31.611988+00,2026-04-02 04:23:14.028032+00,,2026-02-07 16:10:43.516+00,INVALID TRANSACTION ID,,mtn,MP01234567,2026-02-07 08:18:00+00,MTN deposit - TX: MP01234567,f,f,
46a61749-9170-4b89-8291-eb41ce630f82,64b9d940-a123-4d3f-b26f-c12adad95419,0b109aad-212a-4fd0-ab03-3d7aee9cf397,50000,approved,2026-03-12 09:09:31.516593+00,2026-03-12 09:10:06.774282+00,2026-03-12 09:10:06.745+00,,,0b109aad-212a-4fd0-ab03-3d7aee9cf397,mtn,1781877132712TD,2026-03-12 12:15:00+00,TEST FUNDS,f,f,
44003dbc-1088-4e82-8963-3487306e4fbc,710ac745-80f5-4911-a298-77a5da10eebb,,100000,rejected,2026-02-07 17:56:25.030898+00,2026-04-02 04:23:14.028032+00,,2026-02-07 18:54:18.223+00,INVALID TXN ID,,airtel,CF86032104XCF,2026-02-07 17:50:00+00,AIRTEL deposit - TX: CF86032104XCF,f,f,
9d48babc-411d-433d-bfb2-fb4aa1622b99,9324bbf7-5fcf-4af0-b2d5-f0193231cfe5,,250000,rejected,2026-02-09 17:40:09.250084+00,2026-04-02 04:23:14.028032+00,,2026-02-09 18:39:31.598+00,Please enter a valid transaction ID,,airtel,4380664,2026-02-09 17:39:00+00,AIRTEL deposit - TX: 4380664,f,f,
037263d2-7516-417a-9427-6843bc89dcb4,7022294f-a7cf-40c3-b6b5-67f56335f14a,99890a2e-b842-4d44-8516-e2eafe0711ff,9600,rejected,2026-03-14 06:57:07.963332+00,2026-03-14 06:58:22.660068+00,,2026-03-14 06:58:22.63+00,wrong number,99890a2e-b842-4d44-8516-e2eafe0711ff,airtel,142771687426,2026-03-13 22:18:00+00,rent,f,f,
f7f79ba5-fd12-4400-a26c-571d790307c7,6b7f92f7-f43f-4204-9964-4cd4039bf64f,6b7f92f7-f43f-4204-9964-4cd4039bf64f,500000,rejected,2026-01-23 17:10:05.133499+00,2026-01-24 07:38:09.768488+00,,2026-01-24 07:38:09.717+00,use Welile (MTN/AIRTEL) Merchant codes to deposit,99890a2e-b842-4d44-8516-e2eafe0711ff,,,,,f,f,
e856ad15-e7d1-4db6-b6ec-1d3819888c60,0dc810f9-bdd1-4250-b573-dec5bca87b94,,2000,rejected,2026-02-09 17:38:59.832689+00,2026-04-02 04:23:14.028032+00,,2026-02-09 18:41:17.93+00,Please enter a valid transaction Id,,mtn,090777,2026-02-09 17:38:00+00,MTN deposit - TX: 090777,f,f,
d235e981-aeda-4abd-92c2-bb837c961352,e4f07815-7991-422f-946f-7f351b38e954,,16000,approved,2026-04-10 13:34:56.071528+00,2026-04-13 05:58:56.467539+00,2026-04-13 05:58:56.443+00,,,e4f07815-7991-422f-946f-7f351b38e954,airtel,TID144738514078,2026-04-10 13:32:00+00,Rent Payment,f,f,
1fa30c5a-0e66-40ce-ac4a-2636783576b5,b3f97805-92ec-4d85-9e3c-af0dcccd35b3,99890a2e-b842-4d44-8516-e2eafe0711ff,9600,approved,2026-03-14 07:02:05.421874+00,2026-03-14 07:02:23.451707+00,2026-03-14 07:02:23.416+00,,,99890a2e-b842-4d44-8516-e2eafe0711ff,airtel,142771687426-1,2026-03-13 22:18:00+00,Rent Collection,f,f,
