id,user_id,permitted_dashboard,granted_by,granted_at
d4509740-f7f4-4654-862c-772f9ec502db,b0efbbe6-197d-477c-b8a0-cff02b951724,landlord-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:46:23.636972+00
554e9a6c-af50-4fa4-9149-560d6ed52d28,b0efbbe6-197d-477c-b8a0-cff02b951724,agent-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:46:24.64835+00
91cfcf70-66b2-4d67-ab2d-aef76a5601e8,b0efbbe6-197d-477c-b8a0-cff02b951724,tenant-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:46:46.631072+00
5c55cbca-f356-46e1-9d81-c5615e985fca,99890a2e-b842-4d44-8516-e2eafe0711ff,agent-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:53:53.495952+00
e7676738-7d61-4ce0-aec0-7197ccd0f71b,99890a2e-b842-4d44-8516-e2eafe0711ff,tenant-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:53:56.084003+00
a23a98cd-05b6-4d0a-afc5-8585ad7e48d9,e4f07815-7991-422f-946f-7f351b38e954,tenant-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 07:56:46.825982+00
9bdbd140-d4f8-45e1-b159-8735063c9735,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,coo,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 08:00:25.57943+00
8b1a3788-359b-4366-aac8-b94f36dae2a1,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,agent-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 08:00:33.364869+00
b7b58172-6744-48db-a4a9-55f636a51a80,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,partner-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 08:00:34.806885+00
b8498ac1-958c-47d1-9115-ad38428e6824,ae194750-4827-47e8-839e-5e772565138b,partner-ops,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 08:07:30.619483+00
07525768-2962-4a9b-bc55-8808d3b38a1c,cb798acb-68bc-4b4e-a414-a3d374e030b6,cfo,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-31 09:47:09.23409+00
